Run0,Run1,Run2,Run3,Run4,Run5
135824.34,76100.34,227915.34,80996.34,95504.34,67517.34
134864.58,167270.58,44511.58,200035.58,138558.58,122663.58
49480.48,-60745.52,-31031.52,20490.48,-51868.52,-1532.52
100724.83,54653.83,-33573.17,10428.83,71931.83,105497.83
68308.11,-104792.89,20672.11,23238.11,-1925.89,79314.11
-43308.83,-12827.83,-55352.83,-15515.83,9010.17,-39041.83
-62194.98,30340.02,-60800.98,11825.02,109109.02,-82796.98
-114539.16,-30221.16,-114283.16,-112906.16,-81173.16,-238118.16
-59498.47,-19214.47,-83394.47,-70548.47,-79724.47,-58670.47
-120845.07,-110956.07,-140411.07,-139707.07,-130615.07,-194167.07
-169567.93,-187339.93,-168709.93,-299324.93,-211661.93,-348944.93
106231.84,161762.84,57798.84,81752.84,16247.84,37190.84
76100.34,227915.34,80996.34,95504.34,67517.34,79893.34
167270.58,44511.58,200035.58,138558.58,122663.58,126713.58
-60745.52,-31031.52,20490.48,-51868.52,-1532.52,-126529.52
54653.83,-33573.17,10428.83,71931.83,105497.83,-27902.17
-104792.89,20672.11,23238.11,-1925.89,79314.11,-52485.89
-12827.83,-55352.83,-15515.83,9010.17,-39041.83,126727.17
30340.02,-60800.98,11825.02,109109.02,-82796.98,30709.02
-30221.16,-114283.16,-112906.16,-81173.16,-238118.16,-135392.16
-19214.47,-83394.47,-70548.47,-79724.47,-58670.47,-126488.47
-110956.07,-140411.07,-139707.07,-130615.07,-194167.07,-198345.07
-187339.93,-168709.93,-299324.93,-211661.93,-348944.93,-196183.93
161762.84,57798.84,81752.84,16247.84,37190.84,219407.84
227915.34,80996.34,95504.34,67517.34,79893.34,230436.34
44511.58,200035.58,138558.58,122663.58,126713.58,100052.58
-31031.52,20490.48,-51868.52,-1532.52,-126529.52,-67469.52
-33573.17,10428.83,71931.83,105497.83,-27902.17,8973.83
20672.11,23238.11,-1925.89,79314.11,-52485.89,-13541.89
-55352.83,-15515.83,9010.17,-39041.83,126727.17,-19445.83
-60800.98,11825.02,109109.02,-82796.98,30709.02,-8211.98
-114283.16,-112906.16,-81173.16,-238118.16,-135392.16,-66399.16
-83394.47,-70548.47,-79724.47,-58670.47,-126488.47,-9860.47
-140411.07,-139707.07,-130615.07,-194167.07,-198345.07,-116903.07
-168709.93,-299324.93,-211661.93,-348944.93,-196183.93,-188374.93
57798.84,81752.84,16247.84,37190.84,219407.84,45782.84
80996.34,95504.34,67517.34,79893.34,230436.34,50608.34
200035.58,138558.58,122663.58,126713.58,100052.58,154091.58
21048.81,-51310.19,-974.19,-125971.19,-66911.19,-39823.19
10428.83,71931.83,105497.83,-27902.17,8973.83,113551.83
23238.11,-1925.89,79314.11,-52485.89,-13541.89,66813.11
-15515.83,9010.17,-39041.83,126727.17,-19445.83,-15803.83
11825.02,109109.02,-82796.98,30709.02,-8211.98,-15007.98
-112906.16,-81173.16,-238118.16,-135392.16,-66399.16,-180276.16
-70548.47,-79724.47,-58670.47,-126488.47,-9860.47,-144268.47
-139707.07,-130615.07,-194167.07,-198345.07,-116903.07,-196637.07
-299324.93,-211661.93,-348944.93,-196183.93,-188374.93,-294303.93
81752.84,16247.84,37190.84,219407.84,45782.84,78237.84
95504.34,67517.34,79893.34,230436.34,50608.34,70790.34
138558.58,122663.58,126713.58,100052.58,154091.58,147650.58
-51868.52,-1532.52,-126529.52,-67469.52,-40381.52,-40257.52
71931.83,105497.83,-27902.17,8973.83,113551.83,-63648.17
-1925.89,79314.11,-52485.89,-13541.89,66813.11,-46219.89
9010.17,-39041.83,126727.17,-19445.83,-15803.83,17059.17
109109.02,-82796.98,30709.02,-8211.98,-15007.98,53509.02
