Date,TotalUpper0,TotalLower0,TotalLowerMexico0,TotalUpper1,TotalLower1,TotalLowerMexico1,TotalUpper2,TotalLower2,TotalLowerMexico2,TotalUpper3,TotalLower3,TotalLowerMexico3,TotalUpper4,TotalLower4,TotalLowerMexico4,TotalUpper5,TotalLower5,TotalLowerMexico5
27-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
28-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
28-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
28-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
28-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
28-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
28-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
28-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
28-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
28-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
28-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
28-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
28-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
29-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
29-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
29-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
29-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
29-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
29-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
29-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
29-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
29-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
29-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
29-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
29-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
30-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-30,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
30-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
30-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
30-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
30-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
30-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
30-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
30-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
30-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
30-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
30-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
31-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-31,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
31-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-31,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
31-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-31,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
31-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
31-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-31,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
31-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-31,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
31-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-32,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-32,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-32,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-32,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-32,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-32,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-32,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-32,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-32,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-32,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-32,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-32,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-33,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-33,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-33,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-33,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-33,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-33,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-33,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-33,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-33,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-33,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-33,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-33,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-34,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-34,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-34,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-34,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-34,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-34,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-34,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-34,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-34,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-34,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-34,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-34,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-35,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-35,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-35,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-35,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-35,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-35,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-35,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-35,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-35,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-35,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-35,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-35,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-36,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-36,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-36,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-36,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-36,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-36,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-36,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-36,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-36,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-36,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-36,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-36,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-37,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-37,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-37,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-37,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-37,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-37,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-37,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-37,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-37,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-37,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-37,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-37,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-38,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-38,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-38,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-38,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-38,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
