Outflow,Twelevation
15600,3138.469795
15650,3138.482543
15700,3138.495269
15750,3138.507976
15800,3138.520663
15850,3138.533329
15900,3138.545975
15950,3138.558602
16000,3138.571209
16050,3138.583796
16100,3138.596364
16150,3138.608912
16200,3138.62144
16250,3138.63395
16300,3138.64644
16350,3138.658911
16400,3138.671363
16450,3138.683795
16500,3138.69621
16550,3138.708605
16600,3138.720981
16650,3138.733339
16700,3138.745679
16750,3138.758
16800,3138.770302
16850,3138.782586
16900,3138.794852
16950,3138.8071
17000,3138.81933
17050,3138.831542
17100,3138.843736
17150,3138.855912
17200,3138.868071
17250,3138.880211
17300,3138.892335
17350,3138.90444
17400,3138.916529
17450,3138.928599
17500,3138.940653
17550,3138.952689
17600,3138.964709
17650,3138.976711
17700,3138.988696
17750,3139.000665
17800,3139.012616
17850,3139.024551
17900,3139.036469
17950,3139.04837
18000,3139.060255
18050,3139.072123
18100,3139.083975
18150,3139.095811
18200,3139.10763
18250,3139.119433
18300,3139.13122
18350,3139.14299
18400,3139.154745
18450,3139.166484
18500,3139.178207
18550,3139.189914
18600,3139.201605
18650,3139.213281
18700,3139.224941
18750,3139.236585
18800,3139.248214
18850,3139.259827
18900,3139.271425
18950,3139.283008
19000,3139.294575
19050,3139.306127
19100,3139.317664
19150,3139.329186
19200,3139.340693
19250,3139.352185
19300,3139.363662
19350,3139.375124
19400,3139.386572
19450,3139.398004
19500,3139.409422
19550,3139.420825
19600,3139.432214
19650,3139.443588
19700,3139.454948
19750,3139.466293
19800,3139.477624
19850,3139.488941
19900,3139.500244
19950,3139.511532
20000,3139.522806
20050,3139.534066
20100,3139.545312
20150,3139.556544
20200,3139.567762
20250,3139.578966
20300,3139.590157
20350,3139.601333
20400,3139.612496
20450,3139.623646
20500,3139.634781
20550,3139.645903
20600,3139.657012
20650,3139.668107
20700,3139.679188
20750,3139.690257
20800,3139.701312
20850,3139.712353
20900,3139.723382
20950,3139.734397
21000,3139.745399
21050,3139.756388
21100,3139.767364
21150,3139.778327
21200,3139.789277
21250,3139.800214
21300,3139.811138
21350,3139.82205
21400,3139.832948
21450,3139.843834
21500,3139.854707
21550,3139.865568
21600,3139.876416
21650,3139.887252
21700,3139.898075
21750,3139.908885
21800,3139.919683
21850,3139.930469
21900,3139.941242
21950,3139.952003
22000,3139.962752
22050,3139.973489
