Month,evaporation,precipiation
JAN,0.36,0
FEB,0.33,0
MAR,0.37,0
APR,0.46,0
MAY,0.53,0
JUN,0.64,0
JUL,0.8,0
AUG,0.85,0
SEP,0.7,0
OCT,0.51,0
NOV,0.51,0
DEC,0.44,0
