,inflow
Nov-34,179678
Dec-34,229039
Jan-35,256895
Feb-35,273633
Mar-35,348946
Apr-35,703982
May-35,1659496
Jun-35,4722051
Jul-35,2171914
Aug-35,919185
Sep-35,572163
Oct-35,385872
Nov-35,321744
Dec-35,272346
Jan-36,268006
Feb-36,320027
Mar-36,467293
Apr-36,1465536
May-36,4139077
Jun-36,3372480
Jul-36,1631641
Aug-36,1205683
Sep-36,671727
Oct-36,368541
Nov-36,433435
Dec-36,317678
Jan-37,201426
Feb-37,410110
Mar-37,658450
Apr-37,1594216
May-37,3944714
Jun-37,2999795
Jul-37,1865597
Aug-37,797151
Sep-37,568041
Oct-37,497824
Nov-37,378744
Dec-37,387864
Jan-38,328744
Feb-38,352001
Mar-38,773246
Apr-38,1725164
May-38,3725399
Jun-38,5360852
Jul-38,2424331
Aug-38,960014
Sep-38,1004270
Oct-38,589216
Nov-38,473004
Dec-38,405653
Jan-39,343228
Feb-39,302236
Mar-39,809777
Apr-39,1250651
May-39,2975185
Jun-39,2268860
Jul-39,1050986
Aug-39,585937
Sep-39,644975
Oct-39,343706
Nov-39,308677
Dec-39,283053
Jan-40,261698
Feb-40,298277
Mar-40,425689
Apr-40,780974
May-40,2559692
Jun-40,2218883
Jul-40,940183
Aug-40,494824
Sep-40,507262
Oct-40,721330
Nov-40,407612
Dec-40,365250
Jan-41,350022
Feb-41,416080
Mar-41,668639
Apr-41,1151420
May-41,5436441
Jun-41,4589254
Jul-41,2362403
Aug-41,1147302
Sep-41,653866
Oct-41,1781828
Nov-41,893939
Dec-41,567742
Jan-42,410239
Feb-42,393794
Mar-42,646388
Apr-42,2925816
May-42,3586298
Jun-42,4839156
Jul-42,2019205
Aug-42,875590
Sep-42,393152
Oct-42,346604
Nov-42,365731
Dec-42,361812
Jan-43,339375
Feb-43,336518
Mar-43,523944
Apr-43,1680079
May-43,2483874
Jun-43,3376876
Jul-43,2074446
Aug-43,1136590
Sep-43,587709
Oct-43,373350
Nov-43,429906
