,inflow
Nov-35,24040
Dec-35,36401
Jan-36,26994
Feb-36,34743
Mar-36,58783
Apr-36,5772
May-36,1661
Jun-36,62879
Jul-36,61121
Aug-36,71511
Sep-36,91518
Oct-36,27608
Nov-36,29277
Dec-36,35664
Jan-37,29761
Feb-37,149842
Mar-37,165220
Apr-37,99969
May-37,41997
Jun-37,58315
Jul-37,55770
Aug-37,26931
Sep-37,59089
Oct-37,39494
Nov-37,28919
Dec-37,40398
Jan-38,37938
Feb-38,29936
Mar-38,201682
Apr-38,-14579
May-38,-24042
Jun-38,19696
Jul-38,36616
Aug-38,52818
Sep-38,43534
Oct-38,37755
Nov-38,41475
Dec-38,45809
Jan-39,36156
Feb-39,37543
Mar-39,33327
Apr-39,72299
May-39,-73663
Jun-39,10783
Jul-39,53298
Aug-39,27682
Sep-39,91280
Oct-39,39537
Nov-39,32133
Dec-39,39353
Jan-40,47284
Feb-40,69601
Mar-40,53987
Apr-40,26182
May-40,-29392
Jun-40,34204
Jul-40,44481
Aug-40,83009
Sep-40,112584
Oct-40,81041
Nov-40,39154
Dec-40,63272
Jan-41,100287
Feb-41,122461
Mar-41,231811
Apr-41,180003
May-41,132323
Jun-41,115143
Jul-41,108773
Aug-41,83747
Sep-41,56030
Oct-41,129187
Nov-41,68907
Dec-41,36155
Jan-42,42427
Feb-42,54316
Mar-42,42919
Apr-42,-31002
May-42,-17771
Jun-42,44956
Jul-42,31906
Aug-42,41136
Sep-42,22421
Oct-42,31052
Nov-42,27729
Dec-42,27177
Jan-43,35787
Feb-43,39433
Mar-43,99427
Apr-43,1963
May-43,14081
Jun-43,-49555
Jul-43,34279
Aug-43,53249
Sep-43,52727
Oct-43,39660
Nov-43,30289
Dec-43,37693
Jan-44,32467
Feb-44,33823
Mar-44,67453
Apr-44,97826
May-44,4611
Jun-44,18981
Jul-44,75889
Aug-44,42378
Sep-44,26462
Oct-44,24933
Nov-44,30526
Dec-44,36155
Jan-45,42304
Feb-45,46652
Mar-45,54910
Apr-45,68967
May-45,22382
Jun-45,-1809
Jul-45,67945
Aug-45,84793
Sep-45,31241
Oct-45,39045
Nov-45,32490
Dec-45,36524
Jan-46,30990
Feb-46,23160
Mar-46,29207
Apr-46,14043
May-46,47020
Jun-46,6356
Jul-46,60997
Aug-46,102132
Sep-46,66645
Oct-46,53187
Nov-46,58553
Dec-46,45501
Jan-47,41012
Feb-47,26769
Mar-47,12789
Apr-47,21124
May-47,-16479
Jun-47,-37363
Jul-47,30504
Aug-47,139332
Sep-47,60380
Oct-47,83686
Nov-47,32073
Dec-47,38615
Jan-48,31790
Feb-48,12655
Mar-48,36648
Apr-48,49747
May-48,-104161
Jun-48,22528
Jul-48,33757
Aug-48,60965
Sep-48,18316
Oct-48,11634
Nov-48,36358
Dec-48,27977
Jan-49,38492
Feb-49,27825
Mar-49,106805
Apr-49,59624
May-49,-111602
Jun-49,-104847
Jul-49,-4722
Aug-49,60222
Sep-49,33859
Oct-49,20291
Nov-49,25884
Dec-49,26378
Jan-50,23243
Feb-50,31545
Mar-50,33512
Apr-50,-9699
May-50,-23611
Jun-50,-49526
Jul-50,35848
Aug-50,27762
Sep-50,19006
Oct-50,22443
Nov-50,14221
Dec-50,29515
Jan-51,22135
Feb-51,13440
Mar-51,19307
Apr-51,11306
May-51,-83685
Jun-51,-82558
Jul-51,46455
Aug-51,62164
Sep-51,47247
Oct-51,19615
Nov-51,29455
Dec-51,40275
Jan-52,137734
Feb-52,28013
Mar-52,22320
Apr-52,22494
May-52,52634
Jun-52,22791
Jul-52,21460
Aug-52,17512
Sep-52,59451
Oct-52,30160
Nov-52,20172
Dec-52,34987
Jan-53,27178
Feb-53,21104
Mar-53,27116
Apr-53,10354
May-53,-54251
Jun-53,-55423
Jul-53,38369
Aug-53,55524
Sep-53,36435
Oct-53,11560
Nov-53,23920
Dec-53,29576
Jan-54,29208
Feb-54,23382
Mar-54,47468
Apr-54,42963
May-54,-55524
Jun-54,10812
Jul-54,27854
Aug-54,38000
Sep-54,35226
Oct-54,22566
Nov-54,20054
Dec-54,30499
Jan-55,28715
Feb-55,37544
Mar-55,16663
Apr-55,9503
May-55,-48950
Jun-55,12889
Jul-55,57553
Aug-55,198423
Sep-55,39345
Oct-55,28248
Nov-55,32193
Dec-55,40276
Jan-56,40459
Feb-56,41185
Mar-56,8363
Apr-56,-14477
May-56,-60044
Jun-56,-5695
Jul-56,48637
Aug-56,31335
Sep-56,22309
Oct-56,19824
Nov-56,30883
Dec-56,34987
Jan-57,70158
Feb-57,60814
Mar-57,52511
Apr-57,-9938
May-57,-52389
Jun-57,-94910
Jul-57,21878
Aug-57,76676
Sep-57,65586
Oct-57,50236
Nov-57,64682
Dec-57,35787
Jan-58,27547
Feb-58,18828
Mar-58,94077
Apr-58,69502
May-58,-22074
Jun-58,92887
Jul-58,61340
Aug-58,55924
Sep-58,82176
Oct-58,43042
Nov-58,38499
Dec-58,31051
Jan-59,29884
Feb-59,23771
Mar-59,30006
Apr-59,7730
May-59,-9438
Jun-59,-27907
Jul-59,17370
Aug-59,74339
Sep-59,28842
Oct-59,31101
Nov-59,82355
Dec-59,51035
Jan-60,53925
Feb-60,44981
Mar-60,84731
Apr-60,46242
May-60,20654
Jun-60,-24046
Jul-60,34999
Aug-60,28168
Sep-60,31031
Oct-60,47715
Nov-60,46949
Dec-60,33389
Jan-61,33204
Feb-61,29380
Mar-61,24658
Apr-61,24546
May-61,-1709
Jun-61,107984
Jul-61,56385
Aug-61,54355
Sep-61,59267
Oct-61,52248
Nov-61,50638
Dec-61,41812
Jan-62,30129
Feb-62,71588
Mar-62,28653
Apr-62,108953
May-62,92294
Jun-62,-22106
Jul-62,107764
Aug-62,45956
Sep-62,10592
Oct-62,24164
Nov-62,21065
Dec-62,18877
Jan-63,21828
Feb-63,14051
Mar-63,21324
Apr-63,15263
May-63,20488
Jun-63,10490
Jul-63,21619
Aug-63,61181
Sep-63,75453
Oct-63,21201
Nov-63,25884
Dec-63,21583
Jan-64,14389
Feb-64,22088
Mar-64,799
Apr-64,37607
May-64,48023
Jun-64,19922
Jul-64,27787
Aug-64,126051
Sep-64,37269
Oct-64,33290
Nov-64,29753
Dec-64,23857
Jan-65,57922
Feb-65,32546
Mar-65,19431
Apr-65,59564
May-65,22136
Jun-65,-32489
Jul-65,99
Aug-65,13374
Sep-65,22909
Oct-65,21785
Nov-65,43616
Dec-65,83133
Jan-66,90450
Feb-66,51928
Mar-66,111171
Apr-66,56114
May-66,40029
Jun-66,40845
Jul-66,44290
Aug-66,14757
Sep-66,5230
Oct-66,21091
Nov-66,14876
Dec-66,167863
Jan-67,47100
Feb-67,38710
Mar-67,24534
Apr-67,24516
May-67,2336
Jun-67,19994
Jul-67,55696
Aug-67,100964
Sep-67,130197
Oct-67,51097
Nov-67,44509
Dec-67,57861
Jan-68,37754
Feb-68,84212
Mar-68,54909
Apr-68,124247
May-68,50112
Jun-68,35691
Jul-68,43233
Aug-68,104899
Sep-68,43285
Oct-68,27430
Nov-68,49033
Dec-68,37385
Jan-69,105823
Feb-69,82307
Mar-69,57922
Apr-69,138944
May-69,119288
Jun-69,8330
Jul-69,44063
Aug-69,76800
Sep-69,57006
Oct-69,40275
Nov-69,56351
Dec-69,29206
Jan-70,74462
Feb-70,57371
Mar-70,36463
