Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99
3599.26,3611.85,3652.53,3575.22,3597.7,3582.07,3583.32,3569.35,3629.88,3637.1,3598.59,3612.77,3652.87,3572.56,3567.93,3604.51,3570.71,3600.61,3597.45,3582.78,3629.89,3580.27,3633.27,3627.41,3572.56,3629.01,3603.41,3625.98,3598.46,3583.82,3574.44,3569.35,3575.22,3568.85,3635.95,3594.25,3593.31,3581.41,3610.8,3627.39,3570.73,3597.42,3597.09,3593.78,3612.23,3595.15,3605.18,3602.42,3583.73,3564.07,3625.54,3600.61,3582.78,3567.6,3570.95,3625.96,3571.02,3573.01,3593.6,3594.25,3593.16,3610.8,3564.07,3627.41,3627.1,3573.01,3600.29,3587.97,3572.41,3571.37,3572.18,3629.22,3627.41,3571.58,3582.78,3633.42,3584.57,3582.5,3643.97,3567.21,3582.78,3598.36,3607.65,3582.56,3619.93,3629.89,3572.61,3602.74,3600.29,3572.04,3612.7,3587.02,3570.95,3634.9,3634.77,3607.65,3571.43,3572.38,3583.32,3580.95
3595.58,3608.35,3650.42,3570.8,3594.14,3578.36,3579.89,3564.04,3626.91,3635.04,3597.05,3609.78,3650.62,3568.29,3564.26,3601.55,3567.91,3597.59,3593.96,3578.46,3627.27,3575.67,3630.02,3624.24,3568.29,3626.89,3599.55,3622.34,3593.83,3579.68,3571.71,3564.04,3570.8,3565.2,3633.12,3591.14,3590.18,3576.84,3607.98,3624.18,3565.58,3593.33,3592.99,3590.28,3609.57,3591.92,3601.83,3599.15,3580.4,3559.99,3621.98,3597.59,3578.46,3564.79,3565.75,3622.97,3566.01,3568.91,3589.47,3591.14,3588.98,3607.98,3559.99,3624.24,3624.08,3568.91,3596.89,3583.96,3570.02,3566.76,3567.6,3625.95,3624.24,3568.37,3578.46,3630.01,3580.17,3578.26,3641.75,3564.24,3578.46,3595.31,3604.35,3578.8,3617.23,3627.27,3570.64,3599.16,3596.89,3567.95,3610.08,3584.12,3565.75,3632.94,3632.29,3604.35,3566.93,3567.89,3579.89,3575.44
3591.59,3604.79,3648.26,3567.44,3589.41,3574.31,3575.59,3559.28,3623.87,3632.34,3596.18,3606.47,3647.88,3564.76,3559.89,3597.63,3564.12,3593.79,3590.13,3573.29,3624,3570.4,3626.29,3620.63,3564.76,3623.95,3595.09,3618.19,3588.62,3575.43,3568.12,3559.29,3567.44,3560.08,3629.75,3587,3586.01,3571.89,3604.21,3620.92,3561.15,3589.76,3588.46,3586.49,3606.89,3587.89,3597.74,3595.69,3577.27,3554.42,3618.08,3593.79,3573.29,3561.45,3562.37,3619.79,3562.31,3566.33,3584.67,3587,3584.35,3604.21,3554.43,3620.63,3620.8,3566.33,3592.74,3579.31,3566.87,3563.08,3562.94,3622.22,3620.63,3563.76,3573.28,3627.07,3575.42,3574.11,3638.72,3559.7,3573.28,3591.25,3600.49,3574.64,3613.62,3624,3566.28,3594.98,3592.74,3567.12,3609.15,3579.41,3562.37,3629.59,3629.24,3600.49,3563.42,3564.46,3575.59,3569.43
3588.23,3602.22,3646.56,3564.19,3585.47,3570.79,3572.82,3555.47,3620.84,3631.08,3594.78,3603.2,3646.21,3562.84,3556.68,3595.26,3561.24,3591.62,3586.92,3568.99,3622.14,3565.58,3622.94,3617.49,3562.84,3622.51,3591.11,3614.48,3584.74,3572.24,3564.69,3555.48,3564.19,3555.61,3627.28,3584.41,3583.41,3567.34,3601.94,3618.6,3557.22,3586.68,3584.32,3583.2,3605.61,3585.3,3594.35,3592.91,3575.7,3549.53,3614.52,3591.62,3569,3559.93,3559.77,3617.14,3559.7,3565.63,3580.47,3584.41,3580.11,3601.94,3549.54,3617.49,3618.05,3565.63,3589.23,3575.74,3565.39,3560.37,3559.19,3619.36,3617.49,3560.2,3568.98,3624.6,3571.77,3570.59,3636.99,3556.86,3568.98,3588.72,3597.68,3571.14,3611.43,3622.14,3562.84,3591.87,3589.23,3565.82,3607.75,3575.32,3559.77,3626.87,3627.42,3597.68,3560.67,3561.11,3572.82,3564.82
3586.53,3600.58,3645.19,3562,3581.58,3567.66,3570.81,3551.83,3618.46,3630.66,3593.87,3600.83,3646.01,3561.71,3554.29,3595.86,3558.71,3589.67,3583.97,3564.66,3621.11,3561.09,3620.64,3615.26,3561.71,3621.35,3587.55,3611.04,3580.38,3569.96,3562.34,3551.76,3562,3551.73,3625.27,3586.04,3583.92,3563.76,3603.87,3617.22,3554.38,3584.42,3581.06,3580.28,3608.04,3583.41,3593.01,3591.82,3576.76,3544.98,3611.79,3589.67,3564.68,3560.56,3558.19,3614.84,3557.95,3567.62,3576.64,3586.04,3576.78,3603.87,3544.99,3615.26,3615.52,3567.62,3587.02,3572.61,3568.74,3557.98,3555.62,3616.84,3615.26,3556.8,3564.65,3623.12,3568.56,3567.46,3637.87,3554.87,3564.65,3589.2,3595.4,3567.93,3612.19,3621.11,3561.02,3589.3,3587.02,3564.33,3606.23,3572.77,3558.19,3625.58,3627.34,3595.4,3558.38,3558.67,3570.81,3559.65
3587.38,3599.72,3645.6,3567.46,3578.43,3568.69,3572.12,3549.18,3621.33,3629.71,3600.77,3603.94,3649.08,3564.79,3554.73,3596.26,3560.58,3586.75,3584.37,3561.11,3618.59,3557.52,3618.93,3614.07,3564.79,3619.26,3584.89,3607.36,3575.71,3569.87,3567.64,3549.09,3567.46,3549.1,3627.78,3587.46,3584.69,3560.92,3605.2,3616.53,3552.45,3584.96,3578.16,3580.04,3616.89,3584.9,3592.72,3592.35,3584.97,3541.68,3608.64,3586.75,3561.14,3569.83,3560.9,3614.9,3558.89,3578.24,3573.8,3587.46,3574.14,3605.2,3545.83,3614.07,3615.02,3578.24,3585.08,3574.35,3578.77,3559.77,3553.05,3618.09,3614.07,3554.53,3561.14,3625.48,3569.59,3568.49,3640.42,3557.28,3561.16,3590.74,3596.21,3568.71,3613.72,3618.59,3563.79,3589.92,3585.08,3570.33,3612.68,3573.07,3560.9,3627.41,3630.82,3596.21,3560.5,3563.96,3572.12,3555.07
3586.01,3608.24,3651.67,3581.66,3580.67,3590.31,3590.61,3552.86,3630.96,3634.22,3619.33,3614.43,3662.58,3586.39,3566.28,3603.24,3570.25,3589.7,3592.86,3563.63,3621.85,3553.75,3623.16,3623.24,3586.39,3622.84,3581.8,3603.36,3577.52,3580.2,3580.99,3552.7,3581.66,3546.07,3637.15,3595.16,3591.4,3566.44,3612.15,3625.16,3559.04,3590.24,3582.97,3599.96,3630.64,3601.91,3595.49,3591.16,3600.27,3537.77,3611.71,3589.7,3563.65,3585.29,3566.87,3633.22,3570.64,3596.9,3570.46,3595.16,3579.21,3612.15,3547.72,3623.24,3622.15,3596.9,3596.37,3584.92,3593.8,3570.81,3556.61,3626.53,3623.24,3558.19,3563.69,3630.74,3580.69,3590.13,3647.11,3574.97,3563.63,3597.99,3606.22,3578.38,3620.36,3621.85,3582.39,3600.28,3596.37,3592.46,3630.92,3590.85,3566.87,3642.4,3645.78,3606.22,3583.89,3577.35,3590.61,3557.39
3582.06,3619.31,3651.67,3585.34,3579.03,3599.83,3612.63,3551.51,3632.76,3645.94,3635.46,3615.6,3678.43,3611.09,3579.99,3602.96,3572.23,3603.57,3593.96,3561.41,3633.35,3548.13,3628.65,3623.69,3611.09,3634.31,3576.97,3598.01,3576.09,3593.1,3584.09,3551.31,3585.34,3540.73,3648.49,3594.64,3590.42,3573.43,3611.41,3635.49,3567.31,3603.08,3589.7,3607.8,3640.53,3623.26,3592,3586.95,3612.05,3532.08,3616.41,3603.57,3561.41,3598.23,3582.34,3640.28,3584.47,3611.17,3565.31,3594.64,3586.24,3611.45,3546.56,3623.69,3622.3,3611.17,3596.92,3598.19,3606.86,3573.05,3555.23,3637.36,3623.69,3556.75,3561.6,3641.77,3593.5,3599.53,3647.4,3598.01,3561.49,3596.7,3617.97,3580.13,3619.63,3633.37,3616.66,3613.22,3596.97,3611.7,3646.08,3622.9,3582.34,3668.59,3663.66,3618,3594.54,3581.09,3612.63,3555.35
3575.55,3615.2,3646.28,3581.49,3572.64,3599.27,3614.67,3545.31,3627.64,3644.62,3635.83,3610.06,3679.76,3615.55,3577.13,3596.38,3566.39,3600.65,3588.7,3554.38,3630.76,3539.62,3625.07,3617.52,3615.55,3631.83,3569.72,3591.56,3570.48,3590,3579.62,3545.07,3581.49,3532.47,3646.17,3588.94,3585.03,3568.81,3605.04,3631.68,3563.69,3597.7,3585.56,3605.85,3638.08,3625.6,3586.34,3581.3,3609.22,3522.78,3611.34,3600.65,3554.3,3597.18,3578.86,3638.54,3582.21,3610.61,3557.63,3588.94,3581.9,3605.09,3540.88,3617.52,3616.07,3610.61,3590.68,3593.85,3605.83,3567.83,3549.12,3633.73,3617.52,3550.2,3555.11,3638.35,3588.85,3598.97,3643.18,3602.12,3554.65,3590.51,3614.02,3574.15,3613.5,3630.79,3633.66,3609.21,3590.75,3613.03,3646.43,3637.6,3578.86,3681.27,3666.25,3614.15,3594.88,3577.11,3614.67,3548.3
3569.39,3608.92,3639.76,3576.93,3566.14,3593.83,3609,3539.04,3621.85,3640.35,3632.33,3603.75,3675.75,3612.37,3572.47,3589.99,3560.31,3593.84,3579.34,3547.12,3624.9,3530.31,3619.64,3611.16,3612.37,3626.22,3561.87,3581.7,3564.02,3584.44,3574.55,3538.7,3576.93,3522.91,3642.87,3581.45,3577.84,3562.34,3598.77,3626,3558.27,3591.8,3576.55,3599.14,3633.41,3620.47,3577.13,3573.71,3603.85,3513.26,3604.24,3593.84,3547.04,3593.44,3575.81,3632.71,3577.07,3607.59,3549.28,3581.45,3575.2,3598.91,3532.35,3611.16,3608.5,3607.59,3582.88,3587.98,3602.58,3562.44,3542.97,3628.85,3611.16,3543.31,3547.87,3635.22,3582.33,3593.44,3639.16,3598.22,3547.4,3583.36,3608.82,3566.52,3607.48,3625.02,3633.49,3603.96,3583.06,3609.66,3643.19,3635.73,3575.81,3680.78,3663.04,3609.1,3590.18,3572.45,3609,3542.27
