Month,evaporation,precipiation
JAN,0.198,0
FEB,0.186,0
MAR,0.233,0
APR,0.265,0
MAY,0.359,0
JUN,0.411,0
JUL,0.466,0
AUG,0.478,0
SEP,0.415,0
OCT,0.375,0
NOV,0.312,0
DEC,0.261,0
