,Run40
28-Aug,15781.05917
28-Sep,15781.05917
28-Oct,15781.05917
28-Nov,15781.05917
28-Dec,15781.05917
29-Jan,10544.2975
29-Feb,10544.2975
29-Mar,10544.2975
29-Apr,10544.2975
29-May,10544.2975
29-Jun,10544.2975
29-Jul,10544.2975
29-Aug,10544.2975
29-Sep,10544.2975
29-Oct,10544.2975
29-Nov,10544.2975
29-Dec,10544.2975
30-Jan,12084.13333
Feb-30,12084.13333
30-Mar,12084.13333
30-Apr,12084.13333
30-May,12084.13333
30-Jun,12084.13333
30-Jul,12084.13333
30-Aug,12084.13333
30-Sep,12084.13333
30-Oct,12084.13333
30-Nov,12084.13333
30-Dec,12084.13333
31-Jan,8633.3725
Feb-31,8633.3725
31-Mar,8633.3725
Apr-31,8633.3725
31-May,8633.3725
Jun-31,8633.3725
31-Jul,8633.3725
31-Aug,8633.3725
Sep-31,8633.3725
31-Oct,8633.3725
Nov-31,8633.3725
31-Dec,8633.3725
Jan-32,46700.74083
Feb-32,46700.74083
Mar-32,46700.74083
Apr-32,46700.74083
May-32,46700.74083
Jun-32,46700.74083
Jul-32,46700.74083
Aug-32,46700.74083
Sep-32,46700.74083
Oct-32,46700.74083
Nov-32,46700.74083
Dec-32,46700.74083
Jan-33,8030.8025
Feb-33,8030.8025
Mar-33,8030.8025
Apr-33,8030.8025
May-33,8030.8025
Jun-33,8030.8025
Jul-33,8030.8025
Aug-33,8030.8025
Sep-33,8030.8025
Oct-33,8030.8025
Nov-33,8030.8025
Dec-33,8030.8025
Jan-34,18379.6425
Feb-34,18379.6425
Mar-34,18379.6425
Apr-34,18379.6425
May-34,18379.6425
Jun-34,18379.6425
Jul-34,18379.6425
Aug-34,18379.6425
Sep-34,18379.6425
Oct-34,18379.6425
Nov-34,18379.6425
Dec-34,18379.6425
Jan-35,7486.84
Feb-35,7486.84
Mar-35,7486.84
Apr-35,7486.84
May-35,7486.84
Jun-35,7486.84
Jul-35,7486.84
Aug-35,7486.84
Sep-35,7486.84
Oct-35,7486.84
Nov-35,7486.84
Dec-35,7486.84
Jan-36,17129.62083
Feb-36,17129.62083
Mar-36,17129.62083
Apr-36,17129.62083
May-36,17129.62083
Jun-36,17129.62083
Jul-36,17129.62083
Aug-36,17129.62083
Sep-36,17129.62083
Oct-36,17129.62083
Nov-36,17129.62083
Dec-36,17129.62083
Jan-37,169269.4183
Feb-37,169269.4183
Mar-37,169269.4183
Apr-37,169269.4183
May-37,169269.4183
Jun-37,169269.4183
Jul-37,169269.4183
Aug-37,169269.4183
Sep-37,169269.4183
Oct-37,169269.4183
Nov-37,169269.4183
Dec-37,169269.4183
Jan-38,22263.6525
Feb-38,22263.6525
Mar-38,22263.6525
Apr-38,22263.6525
May-38,22263.6525
Jun-38,22263.6525
Jul-38,22263.6525
Aug-38,22263.6525
Sep-38,22263.6525
Oct-38,22263.6525
Nov-38,22263.6525
Dec-38,22263.6525
Jan-39,26476.31
Feb-39,26476.31
Mar-39,26476.31
Apr-39,26476.31
May-39,26476.31
Jun-39,26476.31
Jul-39,26476.31
Aug-39,26476.31
Sep-39,26476.31
Oct-39,26476.31
Nov-39,26476.31
Dec-39,26476.31
Jan-40,8204.356667
Feb-40,8204.356667
Mar-40,8204.356667
Apr-40,8204.356667
May-40,8204.356667
Jun-40,8204.356667
Jul-40,8204.356667
Aug-40,8204.356667
Sep-40,8204.356667
Oct-40,8204.356667
Nov-40,8204.356667
Dec-40,8204.356667
Jan-41,53429.21083
Feb-41,53429.21083
Mar-41,53429.21083
Apr-41,53429.21083
May-41,53429.21083
Jun-41,53429.21083
Jul-41,53429.21083
Aug-41,53429.21083
Sep-41,53429.21083
Oct-41,53429.21083
Nov-41,53429.21083
Dec-41,53429.21083
Jan-42,5410.271667
Feb-42,5410.271667
Mar-42,5410.271667
Apr-42,5410.271667
May-42,5410.271667
Jun-42,5410.271667
Jul-42,5410.271667
Aug-42,5410.271667
Sep-42,5410.271667
Oct-42,5410.271667
Nov-42,5410.271667
Dec-42,5410.271667
Jan-43,2879.306667
Feb-43,2879.306667
Mar-43,2879.306667
Apr-43,2879.306667
May-43,2879.306667
Jun-43,2879.306667
Jul-43,2879.306667
Aug-43,2879.306667
Sep-43,2879.306667
Oct-43,2879.306667
Nov-43,2879.306667
Dec-43,2879.306667
Jan-44,817.5133333
Feb-44,817.5133333
Mar-44,817.5133333
Apr-44,817.5133333
May-44,817.5133333
Jun-44,817.5133333
Jul-44,817.5133333
Aug-44,817.5133333
Sep-44,817.5133333
Oct-44,817.5133333
Nov-44,817.5133333
Dec-44,817.5133333
Jan-45,11249.19167
Feb-45,11249.19167
Mar-45,11249.19167
Apr-45,11249.19167
May-45,11249.19167
Jun-45,11249.19167
Jul-45,11249.19167
Aug-45,11249.19167
Sep-45,11249.19167
Oct-45,11249.19167
Nov-45,11249.19167
Dec-45,11249.19167
Jan-46,2943.5975
Feb-46,2943.5975
Mar-46,2943.5975
Apr-46,2943.5975
May-46,2943.5975
Jun-46,2943.5975
Jul-46,2943.5975
Aug-46,2943.5975
Sep-46,2943.5975
Oct-46,2943.5975
Nov-46,2943.5975
Dec-46,2943.5975
Jan-47,265012
Feb-47,337511
Mar-47,634786
Apr-47,866015
May-47,3702981
Jun-47,3795350
Jul-47,2677593
Aug-47,1511965
Sep-47,754605
Oct-47,822944
Nov-47,571046
Dec-47,440793
Jan-48,372936
Feb-48,424395
Mar-48,581990
Apr-48,1708607
May-48,4108490
Jun-48,3909614
Jul-48,1611566
Aug-48,852879
Sep-48,356405
Oct-48,353187
Nov-48,395870
Dec-48,349159
Jan-49,323922
Feb-49,341251
Mar-49,673055
Apr-49,1439252
May-49,3564293
Jun-49,5184556
Jul-49,2759686
Aug-49,948988
