Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99
3649.54,3633.33,3578.95,3568.15,3632.92,3579.18,3642.13,3636.49,3596.62,3596.09,3571.69,3569.11,3638.91,3602.61,3631.1,3596.49,3568.44,3625.99,3582.35,3572.02,3570.83,3571.61,3567.63,3634.85,3598.31,3570.42,3633.03,3568.39,3634.52,3579.64,3579.89,3569.42,3597,3595.84,3568.39,3568.67,3611.79,3571.19,3590.97,3567.38,3573.17,3639.15,3568.19,3638.91,3579.8,3583.61,3582.14,3599.94,3606.89,3588.6,3625.72,3632.84,3612.63,3607.03,3569.49,3577.8,3596.49,3597.36,3588.6,3578.01,3633.45,3605.87,3567.28,3611.32,3581.92,3569.39,3631.04,3592.82,3569.76,3619.81,3651.61,3564.23,3571.78,3575.22,3596.01,3580.09,3611.33,3583.26,3596.35,3569.56,3651.14,3580.67,3653.65,3591.65,3655.91,3633.04,3596.14,3572.56,3634.41,3570.14,3566.08,3568.48,3592.32,3579.97,3564.32,3608.3,3599.89,3568.49,3635.15,3569.71
3646.89,3629.93,3575.92,3563.53,3630.03,3575.29,3639.61,3634.39,3593.79,3592.87,3568.67,3563.91,3636.16,3600.05,3628.69,3592.46,3563.22,3622.81,3578.41,3568.01,3566.45,3568.19,3562.39,3632.38,3594.58,3565.56,3630.15,3563.76,3631.39,3575.73,3575.26,3565.08,3593.53,3592.23,3563.76,3564.02,3608.6,3566.86,3586.88,3562.56,3570.48,3636.53,3563.59,3636.16,3576.2,3579.91,3578.45,3596.12,3603.59,3585.72,3622.64,3629.92,3608.95,3603.78,3564.22,3573.51,3592.46,3592.94,3585.72,3573.13,3630.21,3601.73,3563.02,3608.89,3579.28,3564.5,3627.26,3589.29,3566.18,3617.35,3648.95,3560.14,3568.35,3571.2,3592.74,3576.1,3608.9,3579.83,3593.34,3564.19,3649.61,3576.7,3651.59,3588.84,3654.17,3630.14,3592.94,3568.6,3631.28,3566.61,3560.34,3563.88,3589.21,3574.99,3561.07,3604.7,3597.61,3563.83,3632.37,3566.56
3643.6,3626.45,3572.42,3559.01,3626.56,3570.27,3636.36,3633.86,3589.34,3588.71,3564.91,3559.43,3632.82,3596.01,3625.04,3588.31,3558.73,3619.08,3574.32,3567.32,3563.26,3563.72,3557.87,3629.33,3589.71,3560.66,3626.68,3559.23,3627.56,3570.69,3570.45,3560.95,3591.88,3587.63,3559.23,3559.47,3604.53,3563.67,3584.69,3558.28,3568.9,3633.31,3559.09,3632.82,3571.55,3576.06,3573.62,3591.74,3599.55,3581.66,3618.75,3626.4,3607,3599.81,3559.63,3569.08,3588.31,3588.36,3581.66,3568.49,3626.48,3597.06,3557.69,3608.22,3575.34,3559.58,3623.38,3585.63,3562.86,3613.89,3646.24,3554.77,3562.92,3567.41,3588.55,3571.32,3608.24,3575.53,3589.3,3559.9,3646.75,3571.8,3651,3585.1,3651.24,3626.64,3588.81,3567.95,3627.44,3563.29,3555.57,3559.39,3585.03,3570.39,3555.87,3600.48,3597.02,3559.27,3629.52,3561.52
3640.8,3623.4,3569.62,3555.23,3623.62,3565.89,3633.81,3633.43,3586.62,3585.14,3561.9,3555.18,3629.84,3593.75,3622.9,3584.62,3554.46,3615.58,3570.57,3566.16,3560.77,3559.47,3553.58,3627.51,3585.42,3556.38,3623.74,3555.44,3624.12,3566.29,3566.08,3557.13,3590.42,3583.64,3555.44,3555.66,3600.98,3561.19,3582.58,3554.31,3566.81,3630.43,3555.33,3629.84,3567.15,3572.9,3569.68,3587.7,3596.13,3579.34,3615.39,3623.42,3605.11,3596.46,3557.1,3565.12,3584.62,3584.54,3579.34,3564.47,3623.1,3592.97,3553.38,3607.73,3572.78,3555.27,3620.15,3582.64,3560.98,3611.88,3643.76,3551.41,3558.14,3564.33,3584.94,3566.8,3607.76,3572.76,3585.69,3556.13,3645.02,3568.74,3649.99,3582.56,3649.79,3623.57,3585.27,3566.84,3624,3561.42,3551.78,3555.63,3582.46,3566.42,3551.45,3598.21,3595.77,3555.45,3626.88,3557.25
3637.73,3619.71,3567.91,3551.25,3620.39,3561.13,3632.41,3632.97,3583.58,3581.82,3558.72,3552.31,3626.94,3591.19,3620.49,3580.82,3551.57,3611.97,3567.49,3564.82,3558.86,3555.53,3550.68,3627.44,3581.5,3554.75,3620.52,3551.44,3622.59,3561.51,3560.53,3553.35,3591.03,3579.3,3551.44,3551.63,3597.06,3559.36,3582.35,3550.35,3564.51,3627.66,3551.37,3626.94,3562.61,3569.54,3566.65,3585.1,3592.39,3580.62,3611.75,3620.15,3605.74,3592.77,3554.6,3563.56,3580.82,3580.46,3580.62,3560.31,3620.82,3589.02,3548.32,3607.11,3572.46,3553.63,3616.66,3579.67,3561.14,3613.33,3641.76,3546.7,3555.93,3560.85,3581.57,3562.12,3607.14,3570.75,3582.66,3551.32,3644.38,3568.8,3649.4,3581.44,3648.05,3620.44,3581.97,3565.54,3622.46,3561.66,3547.31,3551.68,3583.35,3562.27,3546.76,3596.12,3595.35,3551.41,3624.84,3552.72
3635.48,3616.29,3568.73,3548.67,3618.08,3557.63,3638.73,3638.89,3588.7,3579.68,3558.46,3550.35,3624.53,3596.95,3625.64,3577.44,3549.61,3607.83,3567.6,3572.14,3559.39,3556.12,3548.7,3630.93,3580.83,3552.94,3618.21,3548.83,3620.81,3557.96,3555.34,3550.41,3595.46,3576.07,3548.83,3548.95,3593.06,3559.95,3588.12,3547.08,3570.04,3625.45,3548.83,3624.53,3558.79,3568.96,3573.11,3583.28,3588.64,3582.18,3608.05,3617.78,3611.21,3589.06,3558.32,3561.83,3577.44,3577.27,3582.18,3557.36,3619.13,3584.91,3544.34,3613.8,3573.07,3551.81,3614.36,3578.35,3562.36,3614.88,3642,3546.88,3553.59,3558.67,3579.36,3558.09,3613.85,3572.07,3580.37,3547.02,3647.46,3570.36,3654.71,3581.85,3650.71,3617.83,3579.87,3572.97,3620.68,3562.95,3543.88,3549.15,3584.49,3559.3,3543.59,3597.91,3601.77,3548.72,3625.1,3549.65
3636.21,3613.21,3573.02,3549.77,3618.22,3557.72,3643.4,3654.92,3592.64,3580.35,3562.51,3556.8,3625.48,3601.61,3629.59,3574.12,3556.04,3607.5,3569.8,3593.84,3564.11,3558.87,3555.13,3645.89,3581.99,3557.75,3618.35,3549.85,3623.58,3557.92,3550.77,3552.76,3622.83,3575.99,3549.85,3549.84,3591.85,3564.72,3615.48,3548.76,3590.69,3626.86,3550.02,3625.48,3560.51,3572.4,3578.17,3588.61,3587.9,3589.73,3606.97,3617.82,3635.99,3588.42,3567.22,3566.4,3574.11,3580.51,3589.73,3563.44,3623.36,3588.43,3546.42,3631.95,3599.18,3556.58,3616.89,3580.72,3589.28,3621.58,3643.35,3566.07,3557.79,3559.76,3579.92,3559.13,3632.03,3590.58,3582.53,3542.72,3661.12,3578.52,3669.41,3607.17,3651.59,3618.78,3580.62,3594.62,3623.46,3589.85,3546.79,3550.35,3591.45,3565.27,3544.21,3604.54,3621.92,3549.59,3626.57,3550.23
3634.96,3609.01,3583.19,3547.04,3616.01,3554.37,3648.81,3668.32,3602.25,3577.74,3573.43,3565.07,3622.83,3610.2,3636.89,3569.06,3564.35,3603.01,3572.35,3612.96,3575.42,3561.59,3563.49,3663.79,3583.77,3558.54,3616.14,3547.08,3623.74,3554.59,3544.49,3549.73,3644.49,3572.76,3547.08,3547.03,3588.29,3575.98,3637.91,3545.36,3609.75,3624.42,3547.33,3622.83,3556.64,3582.37,3585.94,3595.17,3585.07,3589.59,3603.19,3615.62,3656.18,3585.52,3573.78,3567.37,3569.05,3596.97,3589.57,3568.54,3628.83,3590.84,3565.98,3647.06,3623.57,3557.39,3629.93,3589.48,3614.52,3620.85,3644.9,3576.72,3558.03,3557.84,3577.19,3555.04,3647.15,3612.64,3579.57,3537.16,3677.63,3579.04,3681.8,3629.89,3656.53,3616.06,3578,3613.67,3623.61,3615.14,3566.84,3547.67,3590.82,3570.28,3540.52,3609.05,3637.83,3546.83,3628.26,3546.96
3631.26,3603.55,3583.65,3542.57,3611.96,3548.87,3646.21,3668.54,3598.53,3572.9,3573.91,3561.27,3618.17,3606.84,3633.78,3562.4,3560.54,3597.77,3568.74,3614.29,3576.7,3558.26,3559.66,3666.38,3580.88,3554.31,3612.09,3542.58,3619.83,3548.88,3536.83,3544.36,3648.29,3567.44,3542.58,3542.13,3584.23,3577.23,3641.85,3539.61,3610.66,3619.9,3542.91,3618.17,3550.22,3582.48,3582.52,3591.01,3581.05,3584.02,3597.79,3611.4,3659.71,3581.79,3574.7,3563.32,3562.38,3601.02,3584,3565.86,3625.29,3587.11,3569.28,3647.37,3627.35,3553.13,3633.13,3589.53,3620.13,3614.76,3642.25,3576.54,3553.15,3553.4,3572.01,3548.41,3647.48,3614.69,3573.98,3530.13,3679.99,3573.21,3682.04,3634.28,3651.11,3611.25,3573.19,3614.99,3619.69,3620.81,3572.61,3543.25,3585.37,3567.55,3534.99,3607.86,3638.19,3542.07,3625.4,3541.84
3626.41,3597.85,3578.65,3537.17,3606.62,3542.71,3641.2,3665.47,3599.75,3567.53,3569.48,3555.77,3612.6,3608.34,3634.88,3555.73,3555.02,3589.3,3564.31,3610.94,3572.94,3554.08,3554.03,3663.19,3574.65,3551.04,3606.76,3537.15,3615.63,3542.25,3529.12,3537.86,3645.31,3561.45,3537.15,3536.3,3576.21,3572.89,3638.71,3532.81,3606.75,3614.4,3537.54,3612.6,3543,3577.25,3575.67,3584.61,3574.06,3576.93,3590.35,3605.92,3656.78,3574.78,3572,3560.2,3555.71,3597.19,3576.88,3562.49,3619.96,3580,3566.16,3644.02,3625.31,3549.85,3629.81,3583.11,3618.86,3608.84,3638.28,3574.39,3549.16,3548.21,3566.23,3540.76,3644.16,3609.03,3567.08,3523,3676.97,3568.36,3679.3,3632.3,3649.21,3605.5,3567.9,3611.72,3615.47,3619.55,3570.16,3537.89,3578.42,3564.21,3528.5,3602.55,3634.7,3536.23,3621.07,3535.68
