Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111
-154.94,-3135.23,-653.89,0,-5.1,-2527.49,0,0,-462.03,-10483.6,0,-2421.22,0,-173.14,0,-789.03,-2359.12,0,-1725.06,-5.1,-510.64,0,-5.1,0,-1670.9,-12695.15,0,-2909.62,-29605.99,-2431.97,-5.1,-411.64,0,-11018.75,-2299.33,0,-66.64,-806.14,-1932.77,-141.64,-5.1,0,-1031.89,0,-672.03,-28.81,0,-5.1,-1027.39,-1633.07,-9307.12,0,-416.89,-968.14,-2262.06,-5.1,-566.89,-2746.33,-1474.22,0,-897.64,-51.78,0,0,-5.1,0,0,0,-5.1,-5.1,-431.89,-3524.17,-5949.33,-5.1,0,-2385.33,0,0,0,-5.1,0,-5.1,-9072.33,-5.1,-6417.33,-5.1,-5.1,0,-5.1,0,-5.1,0,0,0,-5.1,-5.1,-5.1,-466.39,-5.1,0,-5.1,-5.1,-5.1,-5.1,-5.1,0,-5119.33,-5.1,-5.1,-5.1,-5.1,0
-2325.73,-13612.15,-2289.67,0,-7436.79,-1129.33,-165.78,-15665.69,-12203.27,-11508.33,0,0,-1904.61,-225.64,-938.57,0,0,0,-8967.37,0,-3591.33,0,-10655.52,-105.03,-14244.41,-14810.75,-13315.43,-1304.62,-17933.57,-13586.97,-12022.12,-93.64,0,-14028.18,-12208.36,0,-275.37,-2101.87,-10715.02,-749.14,-5.1,0,-10149.62,-3434.27,-231.78,-124.53,0,-3582.33,-5405.87,-4462.62,-14019.08,0,-7255.33,-1228.55,-7438.37,-738.64,-654.64,-14287.98,-5.1,0,-4131.33,-369.03,0,0,-5.1,-42.78,-12.78,0,-1037.67,0,-1264.75,-1354.01,-1854.37,-5.1,-1048.23,-5.1,0,0,0,-5.1,0,-5.1,-5509.33,-5968.65,-61.39,-4866.33,-16.39,0,-5.1,0,-5.1,0,0,0,-5.1,-659.89,-12208.36,-5.1,-3279.33,0,-565.33,-5.1,-5.1,-1356.33,-5.1,0,-12208.36,-5.1,-5.1,-713.87,-5.1,-233.28
-14013.62,-34.28,-5.1,-2360.3,-5296.92,-29.78,-474.68,0,-99.68,-5.1,-13838.52,-1158.05,-2271.27,-376.28,0,-254.18,0,-1044.81,-12306.94,-6595.92,-2799.92,0,-2892.49,-3538.92,-14091.71,-13641.85,-5864.94,-3874.36,-18571.28,-13259.37,-14303.52,-8766.92,0,-14340.36,-13134.13,0,-4190.92,-13349.39,-12382.77,-4152.34,-12912.13,-7.43,-11810.09,-12605.49,-12078.99,-212.93,0,-5721.92,-13082.75,-12365.37,-11001.89,-10994.81,-11169.34,-13631.63,-13134.12,-738.59,-6263.34,-15379.34,-5.1,-276.81,-9166.59,-10442.99,0,0,-11.78,-101.93,-331.43,0,-5.1,-226.43,-1988.85,-443.78,-12306.95,-5.1,-6278.81,-2339.92,0,0,0,-5.1,0,-5.1,-7667.92,-13484.04,-12491.37,-12382.62,-10743.92,0,-5.1,0,-5.1,0,0,0,-5.1,-8498.92,-19969.51,-11310.92,-5.1,0,-10164.92,-5.1,-5.1,-5.1,-5.1,0,-12306.94,-5.1,-5.1,-5.1,-5.1,-14532.58
-9872.81,-8752.36,-12306.95,-1806.81,-12306.94,-12301.84,-11768.49,-8137.81,-12706.62,-5576.92,-12306.94,0,-12306.94,-6812.92,-2790.81,-3270.81,-3634.81,0,-12306.94,-12301.84,-10968.92,0,-12301.84,0,-12301.84,-12306.94,-13775.07,-12971.36,-19201.3,-12306.95,-13380.39,-12306.94,-12301.84,-12357.88,-13137.88,-1710.81,-8217.92,-12603.15,-12853.47,-9248.92,-12306.94,-244.81,-12837.87,-12301.84,-12472.02,-7477.81,-12301.84,-12306.94,-13196.9,-12517.63,-12306.94,-3324.81,-12306.94,-12377.59,-12685.63,-5.1,-8843.81,-13683.35,-12310.62,-12301.84,-12697.63,-10620.99,-12301.84,-9646.81,-1518.92,0,-2581.81,-170.93,-3406.92,0,-11137.84,-12475.63,-12306.95,-5.1,-12301.85,-12306.95,-9191.81,0,0,-5.1,0,-11969.81,-13823.89,-12306.95,-12306.95,-12306.95,-12306.95,-12301.84,-6516.92,0,-5.1,0,0,-2235.81,-12306.94,-12507.13,-19969.53,-12852.63,-12306.94,-8654.81,-5.1,-5.1,-5.1,-7394.92,-3820.92,0,-12417.13,-5.1,-5.1,-416.92,-5.1,-13049.01
0,-5.08,-5.08,0,-5.08,0,0,0,-2890.89,-5.08,-2023.81,0,0,-5.08,0,0,0,0,-5.08,0,-5.08,0,0,0,-11991.92,-4069.89,-7.23,-2181.14,-19380.47,-12049.89,-5.08,-5.08,0,-9406.89,-5616.89,0,-5.08,-9114.89,-10236.81,-5.08,-5.08,0,-5.08,-422.81,-1282.44,0,0,-11750.85,-2228.89,-801.69,-7946.51,0,-8495.39,-5.08,-12585.99,-5.08,-1307.44,-12753.85,-8461.57,0,-1507.27,-4207.88,-5935.81,-1831.92,-5.08,0,0,0,-5.08,-718.58,-7113.57,-5.08,-5.08,-5.08,-12306.92,-5.08,0,0,0,-5.08,0,0,-5.08,-12306.92,-11824.89,-4604.89,-50.89,0,-5.08,0,0,0,0,0,-1693.89,-739.89,-19936.36,-5.08,-5.08,0,-5.08,-5.08,-5.08,-5.08,-5.08,0,-12306.97,-5.08,-5.08,-5.08,0,0
-6537.11,-7377.75,-7553.05,0,-6712.79,-10631.72,-1297.68,-3741.57,-3950.69,-5354.7,-5718.84,-8424.38,-3534.01,-10857.41,-3191.2,-3096.52,-7439.65,-3964.21,-4121.17,-410.22,-4342.26,-4228.47,-4149.92,-6242.16,-23531.25,-2919.52,-24578.8,-9558.42,-52152.96,-3044.88,-3040.34,-2359.92,-5996.1,-7970.03,-11484.07,-4442.79,-3935.46,-10077.26,-12167.08,-6068.27,-9471.92,-5699.07,-2732.77,-10161.81,-28721.76,0,-9956.75,-10302.07,-12973.38,-10001.48,-11394.49,-4557.24,-27765.25,-10146.93,-30657.21,-5695.29,-11312.6,-14746.24,-8879.94,-7415.72,-19617.1,-10826.56,-3784.74,-11143.06,-7517.02,-8038.4,-6189.1,-20845.78,-15088.06,-13389.23,-28596.21,-9520.91,-5602.69,-6555.7,-6682.36,-12003.74,-5577.5,-482.53,-8413.67,-4370.49,-4878.72,-7198.28,-6909.43,-12969.77,-9472.44,-5849.79,-42187.17,-7497.39,-19226.31,-10270.26,-5188.24,-8153.88,-9220.81,-7217.01,-7747.35,-17480.79,-33595.61,-7124.27,-8953.8,-6071.53,-5835.74,-11602.56,-8350.38,-7951.9,-8049.18,-5358.86,-37826.89,-7673.6,-9018.83,-8784.22,-4539.55,-6443.47
-4843.35,-26862.1,-1628.2,0,-23737.28,-7548.37,-5.01,0,-15352.22,-3894.18,0,-16352.19,-3844.18,-5.01,0,0,0,-5.01,-2928.5,0,-5.01,0,0,-22408.59,-36290.52,-5.01,-52089.08,-88504.67,-147409.26,-5.01,0,-5.01,-3968.9,-46577.68,-5.01,-3087.68,-12971.43,0,-13484.38,-17070.75,-5.01,-4803.29,-5.01,-22153.41,-22204.47,0,-72441.59,-24793.71,-40814.06,-12106.86,-23859.11,0,-55703.82,-79429.83,-109343.06,-5828.6,-20561.44,-13271.58,-12526.14,-10651.87,-17739.1,-39009.69,0,-12164.99,-14637.1,-17522.88,0,-9617.72,-21375.25,-16363.64,-395747.53,-28760.56,-8568.48,-5865.54,-85609.48,-11006.65,-3746.44,0,0,-7567.29,-7928.83,-16444.9,-69582.83,-184712.55,-59358.53,-16759.08,-5472.79,-13065.88,-40591.88,-6371.17,0,-10077.76,-10266.4,-9988.1,-10106.08,-230248.92,-84970.64,-56287.25,-3365.99,0,-13945.77,-38524.16,-4458.4,-34771.95,-12589.65,-55818.46,-54599.12,-31000.82,-50276.87,-38229.12,0,-12945.36
0,-22553.28,0,-11291.83,-5.01,0,-13577.92,0,-16801.87,0,0,-12960.08,-75157.39,0,0,0,0,-6815.11,-29431.82,-7381.94,-5.01,-5.01,0,-5.01,-120190.88,-5.01,-5.01,-669823.92,-5.01,-9188.64,-28635.2,0,-53138.03,-173502.49,-5.01,-5.01,-6121.91,0,-6213.89,-12474.17,-5.01,-7989.87,-5.01,-9096.85,-6046.37,0,-5.01,-420238.51,-120420.29,-20846.03,-5.01,-5.01,-77173.2,-104108.07,-142431.67,-5.01,-232964.79,-42750.36,0,-172430.04,-8072.9,0,-1377.87,-5.01,-8314.48,-49669.73,0,-53313.46,-5.01,-24154.59,-583312.69,-5.01,-10852.03,0,-84771.26,-5.01,0,-5.01,-3125.5,0,-42376.23,-42305.59,-204098.95,-89300.78,-43979.54,-247937.79,-5.01,-78648.78,-5.01,-85317.49,0,-8946.12,0,-121182.1,-127905.91,-622613.62,-201129.47,-262897.2,0,-63499.69,-89170.53,-44797.33,-8804.9,-17908.66,0,-523741.43,-228799.41,-101306.5,-52806.42,-25142.03,0,0
0,-46745.06,0,-114070.76,-39711.54,-1563.94,-5048.17,0,-59048.59,0,0,-20390.52,-142790.37,-5681.45,-23312.38,-30812.71,-4169.43,-115528.84,-9399.35,-93312.21,-3312.76,-25498.24,-29069.38,-48216.17,-199971.46,-9893.44,-78279.81,-395530.23,-64351.09,-62965.84,-32926.28,-23368.9,-155361.86,-233484.99,-73524.61,-30907.91,-14750.98,-18134.94,-2952.76,-73288.5,-3591.74,-88397.75,-24208.11,-17710.92,-34014.01,-35586.65,-49956.64,-174508.91,-134351.07,-122292.88,-6.26,-129646.19,-107312.02,-141603.78,-217406.16,-13042.15,-200585.41,-23514.67,-1056.5,-158921.29,-22425.53,-33100.16,-39562.19,-38519.65,-30606.11,-100312.87,-38467.01,-44829.3,0,-49386.81,-371912.15,-7710.45,-83096.52,-19391.17,-155791.08,-4193.4,0,-6.26,-49709.47,-8816.53,-71297.04,-109271.79,-90976.88,-85966.02,-72973.58,-124086.53,-38712.08,-162380.16,0,-32636.71,-27359.75,-2220.95,-11693.98,-172785.08,-136972.49,-365661.93,-156273.53,-114407.88,-30689.84,-108455.77,-130620.23,-23178.59,-18507.9,-65532.87,0,-277187.07,-222612.21,-31979.86,-78272.38,-87273.01,-21486.76,0
-4869.01,-29291.37,-6941.55,-54431.59,-39810.92,-10802.19,-25387.15,-26266.66,-51025.8,-18017.21,-10297.54,-39469.5,-81895.53,-28267.84,-32038.61,-39530.18,-28516.71,-79351.27,-30936.37,-56604.46,-35042.37,-35761.82,-28425.03,-33210,-105077.64,-37610.9,-61775.82,-176504.27,-79711.11,-26430.94,-55195.37,-44376.15,-102189.17,-155714.16,-39305.32,-51227.96,-33426.67,-57775.81,-19240.82,-51288.15,-20744.21,-56379.54,-48780.98,-50824.07,-27662.28,-34905.43,-40039.38,-112531.21,-69058.36,-85804.2,-18082.15,-70790.6,-61131.72,-92173.17,-86991.43,-41303.11,-56302.42,-61644.5,-13385.83,-80737.33,-63192.68,-21328.48,-45346.41,-54080.37,-34398.98,-65395.55,-41576.77,-42816.65,-28044.5,-37224.76,-148232.14,-53420.48,-40056.17,-49079.84,-121198.64,-12671.92,-5378.63,-4725.48,-60803.76,-11729.68,-38338.96,-70857.24,-69732.46,-81210.15,-33400.55,-43196.29,-15257.36,-73713.76,-8317.3,-42152.38,-13545.39,-12580.95,-29836.92,-95421.77,-66269.9,-151094.95,-95306.3,-118551.01,-57075.68,-71824.58,-86580.57,-66308.36,-48526.69,-46082.58,-12865.72,-79803.38,-101897.49,-49785.38,-103194.08,-103185.58,-34710.47,-16389.05
