Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111
713.981,694.988,688.227,731.635,670.771,654.601,655.825,720.279,616.31,654.13,591.174,738.603,729.186,650.494,651.828,777.344,665.546,701.084,704.503,659.476,671.705,692.601,852.869,701.227,782.898,683.421,671.133,801.335,679.717,759.25,679.662,677.027,704.848,740.254,768.786,691.549,673.96,731.678,656.926,574.664,659.968,707.634,669.816,744.742,670.413,692.418,658.236,687.664,657.835,966.053,706.831,670.891,823.364,696.27,656.267,669.313,774.459,758.621,644.95,685.209,795.396,739.006,651.654,663.041,725.495,658.983,667.393,690.9,698.936,741.418,752.861,668.211,670.407,625.368,736.218,651.878,684.866,695.538,741.952,649.294,744.386,687.575,665.911,674.1,657.282,671.343,718.587,677.724,658.098,654.169,654.844,752.628,747.275,652.277,607.297,655.358,700.724,740.289,681.924,677.727,678.956,650.668,722.629,679.076,774.889,656.098,651.177,662.281,688.031,611.53,727.606,737.433
884.434,791.468,777.131,814.809,778.008,746.83,735.982,802.645,729.745,743.351,781.216,787.706,812.41,777.248,732.281,891.801,774.821,774.998,744.256,810.766,760.076,769.84,762.689,741.039,725.154,731.75,759.534,776.953,815.079,771.514,761.623,764.199,762.529,763.829,791.944,812.448,758.021,814.765,826.578,813.586,739.105,813.797,752.831,800.361,762.185,856.09,773.304,765.037,843.058,911.552,759.528,759.377,878.68,893.267,747.844,764.107,824.146,858.721,799.242,769.257,770.988,830.53,737.1,775.653,879.443,883.392,717.344,752.655,839.251,772.725,765.316,817.042,775.962,733.974,737.832,734.839,760.67,744.351,756.216,741.127,869.676,829.871,757.538,897.876,741.524,744.091,769.941,825.428,734.383,754.293,734.089,802.249,779.304,736.22,720.656,852.921,794.817,935.463,766.804,846.142,787.509,751.043,880.962,785.173,832.526,665.494,731.014,742.455,762.427,798.88,769.509,910.598
997.897,925.643,832.196,1189.371,793.687,887.131,909.028,923.551,1118.341,943.176,846.311,829.962,822.231,756.957,1014.56,1248.93,815.064,1351.991,716.596,833.742,988.137,855.345,778.517,856.127,923.753,768.398,799.309,860.147,819.554,815.694,783.261,823.804,761.125,1173.555,862.642,1074.883,1265.1,792.186,778.266,968.274,873.779,877.292,768.568,1063.612,790.106,1850.916,808.997,794.548,948.944,828.872,1257.33,798.732,936.404,1060.229,874.41,804.531,950.51,770.671,843.922,852.367,781.738,840.68,780.682,771.869,975.816,1229.111,840.234,1259.349,836.381,790.497,825.437,927.183,1227.809,776.226,839.38,778.442,809.196,851.512,932.511,877.881,929.616,1103.263,787.33,1188.827,696.415,804.446,831.11,1216.11,695.966,879.075,691.196,811.672,806.815,931.455,764.057,961.999,838.428,1894.038,954.015,823.419,812.618,1228.761,1297.303,1194.482,1015.645,1002.386,1286.226,632.489,1245.217,1186.298,796.568,1269.144
1084.011,807.468,749.931,1129.685,730.458,767.865,807.095,787.371,836.076,826.511,731.957,809.142,749.359,684.541,830.302,1299.69,687.644,1144.666,788.271,724.401,868.147,728.228,693.223,763.341,848.672,694.208,805.387,840.403,757.585,685.323,761.367,692.726,687.579,1064.762,824.366,1271.471,1149.44,781.333,695.359,1204.198,766.125,920.313,771.786,1720.181,779.33,1932.265,772.156,685.42,893.15,879.863,1327.334,779.313,808.397,1007.073,741.995,842.288,832.187,743.778,783.497,882,701.092,763.672,699.555,697.002,860.634,1077.796,827.97,1129.4,786.098,708.315,768.618,764.039,1006.416,695.248,803.009,695.269,641.245,792.282,819.102,769.283,842.935,869.846,727.451,940.698,610.337,699.724,744.667,1068.121,767.872,857.325,616.53,738.86,692.736,812.789,693.535,722.798,779.516,1790.721,853.44,754.77,775.433,1045.935,1140.689,1314.188,982.107,796.052,871.07,549.606,977.72,1034.96,745.474,1352.423
966.134,931.859,757.786,1461.309,698.421,799.097,843.083,694.377,864.76,958.795,696.565,863.456,803.43,696.346,778.455,1362.499,708.448,1289.441,749.806,827.523,911.587,716.963,733.678,811.513,873.104,710.798,728.39,769.302,849.576,767.145,728.306,728.382,664.219,970.961,944.468,1220.467,1139.672,982.759,762.414,1050.077,823.927,982.964,791.839,2109.858,746.906,2416.043,819.886,712.761,944.17,851.388,1404.064,819.459,850.827,932.864,870.772,936.566,779.345,795.831,781.098,748.692,732.514,784.323,755.194,721.822,1019.239,1098.423,646.954,1199.164,869.085,712.839,930.878,699.034,836.074,717.104,1011.841,719.632,704.394,803.372,859.406,816.819,963.154,1040.51,725.833,888.766,641.678,725.018,857.446,1239.457,670.664,939.724,641.341,762.195,726.475,885.306,715.534,784.394,813.424,1866.907,845.505,714.869,850.437,1063.805,1108.802,1475.36,1289.091,631.577,884.391,726.29,963.274,985.293,825.446,1255.673
876.306,767.333,782.915,1278.123,699.277,1260.846,628.36,638.325,756.379,813.039,826.548,913.258,702.074,1000.185,702.086,1190.696,639.673,942.436,850.603,705.13,791.119,791.094,755.953,850.685,876.93,747.906,621.73,772.059,854.112,861.362,590.991,748.024,603.446,963.71,1193.784,1254.21,907.644,1075.365,743.673,965.746,711.284,1247.929,672.501,2788.888,752.908,1980.499,957.394,639.176,782.408,807.587,1219.818,804.621,812.033,868.033,728.776,895.364,1113.84,698.518,773.251,788.961,763.119,714.387,648.305,641.215,955.17,1005.418,578.811,1071.957,1088.025,760.816,1244.984,969.313,765.438,761.509,886.827,751.109,714.473,1003.391,757.033,730.702,1421.433,923.684,690.193,876.367,563.212,622.301,706.952,1090.362,584.717,724.339,554.634,798.605,781.414,755.684,742.237,788.145,722.527,1903.825,759.478,756.896,877.352,931.256,950.212,1327.884,925.394,712.403,778.749,603.269,908.239,811.772,1334.163,1527.448
887.893,791.638,680.061,1195.716,694.015,1272.708,681.882,521.528,760.744,781.615,778.774,845.004,678.366,994.597,592.259,1102.261,596.783,813.239,783.35,683.299,876.994,786.192,749.308,816.856,795.558,755.082,603.893,742.6,764.286,815.688,573.927,703.062,501.185,915.945,1119.944,1229.19,858.339,1022.447,749.967,803.168,706.109,1323.366,658.346,2364.3,737.286,2653.202,925.654,603.563,755.33,839.389,1263.091,792.475,797.892,837.499,664.534,842.957,1017,625.517,761.909,635.073,758.139,696.249,617.293,627.02,978.231,1071.433,601.48,1060.217,1054.012,756.775,1212.211,854.532,721.717,743.828,870.537,750.855,638.361,825.712,725.213,720.307,1638.936,990.534,582.748,915.095,555.479,581.85,681.237,1066.375,584.422,735.944,557.995,712.853,744.387,766.987,756.487,775.74,707.79,1793.862,766.858,713.741,828.924,942.975,994.672,1289.988,826.638,560.122,699.789,732.758,832.953,692.061,1349.661,1586.666
1009.423,808.16,765.169,1468.655,764.113,1417.851,611.692,636.718,779.618,777.461,801.017,902.812,696.152,845.529,667.793,1039.805,666.855,737.007,770.83,716.839,889.426,816.222,792.029,843.064,807.978,640.94,684.936,796.012,784.561,885.289,637.987,818.84,579.603,948.914,1149.975,1513.269,1032.619,1022.13,765.522,752.429,723.156,1619.001,693.234,2152.704,778.856,2818.036,909.936,647.728,779.789,871.487,1785.138,816.317,820.635,817.937,678.856,826.673,922.311,622.685,808.735,773.963,782.556,710.819,667.749,662.618,974.25,1377.571,831.497,955.171,1271.854,788.095,1284.549,1022.161,889.863,786.684,857.481,796.185,687.303,822.838,776.43,744.093,1880.145,916.987,665.091,802.233,576.869,644.421,678.166,1498.921,635.244,750.513,586.608,748.476,810.496,815.563,800.818,812.557,749.905,2374.412,773.989,787.861,844.534,1092.045,1559.427,1437.889,848.904,777.394,716.856,646.472,1047.492,497.813,1298.97,1690.028
1072.995,928.033,890.592,1647.438,910.568,1618.76,551.958,842.508,892.181,906.288,991.36,1080.337,779.824,730.702,971.2,1163.568,791.475,550.261,1003.311,823.006,1100.17,942.173,871.688,989.711,933.321,703.369,782.002,973.507,901.59,942.307,715.329,912.095,948.335,1212.392,1481.491,1912.945,1266.648,1125.147,828.483,837.104,866.384,1938.341,836.286,2289.597,915.446,5110.671,983.406,779.923,922.739,979.041,2151.846,977.686,961.268,858.126,785.554,987.668,1008.8,718.661,991.673,1035.673,826.126,819.616,745.463,756.29,998.716,1478.245,744.349,924.342,1601.359,900.936,1549.609,1432.753,1137.781,894.381,993.69,903.134,991.246,994.391,914.709,818.519,2196.023,982.096,749.575,905.359,669.217,786.818,832.298,2078.941,717.219,809.38,661.626,941.83,939.494,918.73,921.516,951.702,804.61,4292.022,910.426,959.235,964.607,1359.419,2138.722,1635.713,867.129,914.356,820.907,715.673,1056.089,417.048,1329.199,1912.223
1381.598,945.44,1149.3,2135.532,1123.744,2055.432,909.397,1075.824,972.992,898.557,1048.931,1285.374,934.904,1613.06,875.082,1961.29,889.223,1089.69,917.811,844.96,1266.537,1144.554,994.2,1016.204,927.97,1188.631,816.621,954.54,950.956,991.202,861.532,995.632,927.722,1334.731,2164.639,2188.182,1473.376,1054.382,864.013,864.135,935.938,2132.277,939.976,2299.626,961.068,2447.872,1083.474,886.027,1111.968,1022.199,2113.382,1151.552,971.01,902.615,732.1,1100.285,1435.913,720.45,1087.831,891.995,1015.936,878.987,811.202,834.663,977.862,2071.206,1329.941,1761.161,2191.321,1039.693,2234.861,1430.262,1492.348,964.967,1013.781,962.082,928.688,943.136,1145.849,1015.603,2247.493,1068.223,817.825,937.371,766.956,829.708,902.497,2154.122,748.801,1019.308,745.054,984.721,1127.814,1048.479,1006.743,947.416,815.649,2190.587,890.888,983.542,1045.5,1610.934,2153.339,2012.008,904.582,1065.286,928.162,704.835,1661.834,780.201,1626.97,2128.766
