,InitStorage_Powell,Inflow_Powell,Release_Powell,InitStorage_Mead,Release_Mead,YearsToEmpty
63180,10,3,3,10,3,40
63181,10,4,3,10,3,40
63182,10,5,3,10,3,40
63183,10,6,3,10,3,40
63184,10,7,3,10,3,40
63185,10,8,3,10,3,40
63186,10,9,3,10,3,40
63187,10,10,3,10,3,40
63188,10,11,3,10,3,40
63189,10,12,3,10,3,40
63190,10,13,3,10,3,40
63191,10,14,3,10,3,40
63192,10,15,3,10,3,40
63193,10,3,3,10,4,14
63194,10,4,3,10,4,14
63195,10,5,3,10,4,40
63196,10,6,3,10,4,40
63197,10,7,3,10,4,40
63198,10,8,3,10,4,40
63199,10,9,3,10,4,40
63200,10,10,3,10,4,40
63201,10,11,3,10,4,40
63202,10,12,3,10,4,40
63203,10,13,3,10,4,40
63204,10,14,3,10,4,40
63205,10,15,3,10,4,40
63206,10,3,3,10,5,6
63207,10,4,3,10,5,6
63208,10,5,3,10,5,6
63209,10,6,3,10,5,40
63210,10,7,3,10,5,40
63211,10,8,3,10,5,40
63212,10,9,3,10,5,40
63213,10,10,3,10,5,40
63214,10,11,3,10,5,40
63215,10,12,3,10,5,40
63216,10,13,3,10,5,40
63217,10,14,3,10,5,40
63218,10,15,3,10,5,40
63219,10,3,3,10,6,4
63220,10,4,3,10,6,4
63221,10,5,3,10,6,4
63222,10,6,3,10,6,4
63223,10,7,3,10,6,4
63224,10,8,3,10,6,40
63225,10,9,3,10,6,40
63226,10,10,3,10,6,40
63227,10,11,3,10,6,40
63228,10,12,3,10,6,40
63229,10,13,3,10,6,40
63230,10,14,3,10,6,40
63231,10,15,3,10,6,40
63232,10,3,3,10,7,3
63233,10,4,3,10,7,3
63234,10,5,3,10,7,3
63235,10,6,3,10,7,3
63236,10,7,3,10,7,3
63237,10,8,3,10,7,3
63238,10,9,3,10,7,40
63239,10,10,3,10,7,40
63240,10,11,3,10,7,40
63241,10,12,3,10,7,40
63242,10,13,3,10,7,40
63243,10,14,3,10,7,40
63244,10,15,3,10,7,40
63245,10,3,3,10,8,3
63246,10,4,3,10,8,3
63247,10,5,3,10,8,3
63248,10,6,3,10,8,3
63249,10,7,3,10,8,3
63250,10,8,3,10,8,3
63251,10,9,3,10,8,40
63252,10,10,3,10,8,40
63253,10,11,3,10,8,40
63254,10,12,3,10,8,40
63255,10,13,3,10,8,40
63256,10,14,3,10,8,40
63257,10,15,3,10,8,40
63258,10,3,3,10,9,2
63259,10,4,3,10,9,2
63260,10,5,3,10,9,2
63261,10,6,3,10,9,2
63262,10,7,3,10,9,2
63263,10,8,3,10,9,2
63264,10,9,3,10,9,2
63265,10,10,3,10,9,2
63266,10,11,3,10,9,40
63267,10,12,3,10,9,40
63268,10,13,3,10,9,40
63269,10,14,3,10,9,40
63270,10,15,3,10,9,40
63271,10,3,3,10,10,2
63272,10,4,3,10,10,2
63273,10,5,3,10,10,2
63274,10,6,3,10,10,2
63275,10,7,3,10,10,2
63276,10,8,3,10,10,2
63277,10,9,3,10,10,2
63278,10,10,3,10,10,2
63279,10,11,3,10,10,40
63280,10,12,3,10,10,40
63281,10,13,3,10,10,40
63282,10,14,3,10,10,40
63283,10,15,3,10,10,40
63284,10,3,3,10,11,2
63285,10,4,3,10,11,2
63286,10,5,3,10,11,2
63287,10,6,3,10,11,2
63288,10,7,3,10,11,2
63289,10,8,3,10,11,2
63290,10,9,3,10,11,2
63291,10,10,3,10,11,2
63292,10,11,3,10,11,2
63293,10,12,3,10,11,40
63294,10,13,3,10,11,40
63295,10,14,3,10,11,40
63296,10,15,3,10,11,40
63297,10,3,4,10,3,40
63298,10,4,4,10,3,40
63299,10,5,4,10,3,40
63300,10,6,4,10,3,40
63301,10,7,4,10,3,40
63302,10,8,4,10,3,40
63303,10,9,4,10,3,40
63304,10,10,4,10,3,40
63305,10,11,4,10,3,40
63306,10,12,4,10,3,40
63307,10,13,4,10,3,40
63308,10,14,4,10,3,40
63309,10,15,4,10,3,40
63310,10,3,4,10,4,22
63311,10,4,4,10,4,40
63312,10,5,4,10,4,40
63313,10,6,4,10,4,40
63314,10,7,4,10,4,40
63315,10,8,4,10,4,40
63316,10,9,4,10,4,40
63317,10,10,4,10,4,40
63318,10,11,4,10,4,40
63319,10,12,4,10,4,40
63320,10,13,4,10,4,40
63321,10,14,4,10,4,40
63322,10,15,4,10,4,40
63323,10,3,4,10,5,11
63324,10,4,4,10,5,14
63325,10,5,4,10,5,14
63326,10,6,4,10,5,40
63327,10,7,4,10,5,40
63328,10,8,4,10,5,40
63329,10,9,4,10,5,40
63330,10,10,4,10,5,40
63331,10,11,4,10,5,40
63332,10,12,4,10,5,40
63333,10,13,4,10,5,40
63334,10,14,4,10,5,40
63335,10,15,4,10,5,40
63336,10,3,4,10,6,6
63337,10,4,4,10,6,6
63338,10,5,4,10,6,6
63339,10,6,4,10,6,6
63340,10,7,4,10,6,40
63341,10,8,4,10,6,40
63342,10,9,4,10,6,40
63343,10,10,4,10,6,40
63344,10,11,4,10,6,40
63345,10,12,4,10,6,40
63346,10,13,4,10,6,40
63347,10,14,4,10,6,40
63348,10,15,4,10,6,40
63349,10,3,4,10,7,4
63350,10,4,4,10,7,4
63351,10,5,4,10,7,4
63352,10,6,4,10,7,4
63353,10,7,4,10,7,4
63354,10,8,4,10,7,4
63355,10,9,4,10,7,40
63356,10,10,4,10,7,40
63357,10,11,4,10,7,40
63358,10,12,4,10,7,40
63359,10,13,4,10,7,40
63360,10,14,4,10,7,40
63361,10,15,4,10,7,40
63362,10,3,4,10,8,3
63363,10,4,4,10,8,3
63364,10,5,4,10,8,3
63365,10,6,4,10,8,3
63366,10,7,4,10,8,3
63367,10,8,4,10,8,3
63368,10,9,4,10,8,3
63369,10,10,4,10,8,40
63370,10,11,4,10,8,40
63371,10,12,4,10,8,40
63372,10,13,4,10,8,40
63373,10,14,4,10,8,40
63374,10,15,4,10,8,40
63375,10,3,4,10,9,3
63376,10,4,4,10,9,3
63377,10,5,4,10,9,3
63378,10,6,4,10,9,3
63379,10,7,4,10,9,3
63380,10,8,4,10,9,3
63381,10,9,4,10,9,3
63382,10,10,4,10,9,40
63383,10,11,4,10,9,40
63384,10,12,4,10,9,40
63385,10,13,4,10,9,40
63386,10,14,4,10,9,40
63387,10,15,4,10,9,40
63388,10,3,4,10,10,2
63389,10,4,4,10,10,2
63390,10,5,4,10,10,2
63391,10,6,4,10,10,2
63392,10,7,4,10,10,2
63393,10,8,4,10,10,2
63394,10,9,4,10,10,2
63395,10,10,4,10,10,2
63396,10,11,4,10,10,2
63397,10,12,4,10,10,40
63398,10,13,4,10,10,40
63399,10,14,4,10,10,40
63400,10,15,4,10,10,40
63401,10,3,4,10,11,2
63402,10,4,4,10,11,2
63403,10,5,4,10,11,2
63404,10,6,4,10,11,2
63405,10,7,4,10,11,2
63406,10,8,4,10,11,2
63407,10,9,4,10,11,2
63408,10,10,4,10,11,2
63409,10,11,4,10,11,2
63410,10,12,4,10,11,40
63411,10,13,4,10,11,40
63412,10,14,4,10,11,40
63413,10,15,4,10,11,40
63414,10,3,5,10,3,40
63415,10,4,5,10,3,40
