,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
1959,16,5,10.5,3
1960,16,5,11,3
1961,16,5,11.5,3
1978,16,5.5,11,3
1979,16,5.5,11.5,3
1993,16,6,9.5,5
1994,16,6,10,5
2012,16,6.5,10,5
2013,16,6.5,10.5,5
2015,16,6.5,11.5,4
2031,16,7,10.5,5
2032,16,7,11,5
2033,16,7,11.5,4
2050,16,7.5,11,5
2069,16,8,11.5,5
2347,17,3,6.5,5
2348,17,3,7,5
2349,17,3,7.5,4
2350,17,3,8,4
2351,17,3,8.5,4
2352,17,3,9,3
2353,17,3,9.5,3
2354,17,3,10,3
2355,17,3,10.5,3
2356,17,3,11,3
2357,17,3,11.5,3
2366,17,3.5,7,5
2367,17,3.5,7.5,5
2368,17,3.5,8,4
2369,17,3.5,8.5,4
2370,17,3.5,9,4
2371,17,3.5,9.5,3
2372,17,3.5,10,3
2373,17,3.5,10.5,3
2374,17,3.5,11,3
2375,17,3.5,11.5,3
2386,17,4,8,5
2387,17,4,8.5,4
2388,17,4,9,4
2389,17,4,9.5,4
2390,17,4,10,3
2391,17,4,10.5,3
2392,17,4,11,3
2393,17,4,11.5,3
2405,17,4.5,8.5,5
2406,17,4.5,9,4
2407,17,4.5,9.5,4
2408,17,4.5,10,4
2409,17,4.5,10.5,3
2410,17,4.5,11,3
2411,17,4.5,11.5,3
2426,17,5,10,4
2427,17,5,10.5,4
2428,17,5,11,3
2429,17,5,11.5,3
2442,17,5.5,9,5
2443,17,5.5,9.5,5
2446,17,5.5,11,4
2447,17,5.5,11.5,3
2461,17,6,9.5,5
2462,17,6,10,5
2481,17,6.5,10.5,5
2500,17,7,11,5
2519,17,7.5,11.5,5
2816,18,3,7,5
2817,18,3,7.5,5
2818,18,3,8,4
2819,18,3,8.5,4
2820,18,3,9,4
2821,18,3,9.5,3
2822,18,3,10,3
2823,18,3,10.5,3
2824,18,3,11,3
2825,18,3,11.5,3
2835,18,3.5,7.5,5
2836,18,3.5,8,5
2837,18,3.5,8.5,4
2838,18,3.5,9,4
2839,18,3.5,9.5,4
2840,18,3.5,10,3
2841,18,3.5,10.5,3
2842,18,3.5,11,3
2843,18,3.5,11.5,3
2854,18,4,8,5
2855,18,4,8.5,5
2856,18,4,9,4
2857,18,4,9.5,4
2858,18,4,10,4
2859,18,4,10.5,3
2860,18,4,11,3
2861,18,4,11.5,3
2873,18,4.5,8.5,5
2874,18,4.5,9,5
2875,18,4.5,9.5,4
2876,18,4.5,10,4
2877,18,4.5,10.5,4
2878,18,4.5,11,3
2879,18,4.5,11.5,3
2894,18,5,10,4
2895,18,5,10.5,4
2896,18,5,11,4
2897,18,5,11.5,3
2911,18,5.5,9.5,5
2914,18,5.5,11,4
2915,18,5.5,11.5,4
2930,18,6,10,5
3284,19,3,7,5
3285,19,3,7.5,5
3286,19,3,8,4
3287,19,3,8.5,4
3288,19,3,9,4
3289,19,3,9.5,3
3290,19,3,10,3
3291,19,3,10.5,3
3292,19,3,11,3
3293,19,3,11.5,3
3303,19,3.5,7.5,5
3304,19,3.5,8,5
3305,19,3.5,8.5,4
3306,19,3.5,9,4
3307,19,3.5,9.5,4
3308,19,3.5,10,3
3309,19,3.5,10.5,3
3310,19,3.5,11,3
3311,19,3.5,11.5,3
3322,19,4,8,5
3323,19,4,8.5,5
3324,19,4,9,4
3325,19,4,9.5,4
3326,19,4,10,4
3327,19,4,10.5,3
3328,19,4,11,3
3329,19,4,11.5,3
3341,19,4.5,8.5,5
3342,19,4.5,9,5
3343,19,4.5,9.5,4
3344,19,4.5,10,4
3345,19,4.5,10.5,4
3346,19,4.5,11,3
3347,19,4.5,11.5,3
3361,19,5,9.5,5
3362,19,5,10,4
3363,19,5,10.5,4
3364,19,5,11,4
3365,19,5,11.5,3
3379,19,5.5,9.5,5
3382,19,5.5,11,4
3383,19,5.5,11.5,4
3753,20,3,7.5,5
3754,20,3,8,5
3755,20,3,8.5,4
3756,20,3,9,4
3757,20,3,9.5,4
3758,20,3,10,3
3759,20,3,10.5,3
3760,20,3,11,3
3761,20,3,11.5,3
3772,20,3.5,8,5
3773,20,3.5,8.5,5
3774,20,3.5,9,4
3775,20,3.5,9.5,4
3776,20,3.5,10,4
3777,20,3.5,10.5,3
3778,20,3.5,11,3
3779,20,3.5,11.5,3
3791,20,4,8.5,5
3792,20,4,9,5
3793,20,4,9.5,4
3794,20,4,10,4
3795,20,4,10.5,4
3796,20,4,11,3
3797,20,4,11.5,3
3810,20,4.5,9,5
3811,20,4.5,9.5,5
3812,20,4.5,10,4
3813,20,4.5,10.5,4
3814,20,4.5,11,4
3815,20,4.5,11.5,3
3829,20,5,9.5,5
3830,20,5,10,5
3831,20,5,10.5,4
3832,20,5,11,4
3833,20,5,11.5,4
3850,20,5.5,11,4
3851,20,5.5,11.5,4
3867,20,6,10.5,5
3886,20,6.5,11,5
3905,20,7,11.5,5
4221,21,3,7.5,5
4222,21,3,8,5
4223,21,3,8.5,4
4224,21,3,9,4
4225,21,3,9.5,4
4226,21,3,10,4
4227,21,3,10.5,3
4228,21,3,11,3
4229,21,3,11.5,3
4240,21,3.5,8,5
4241,21,3.5,8.5,5
4242,21,3.5,9,4
4243,21,3.5,9.5,4
4244,21,3.5,10,4
4245,21,3.5,10.5,4
4246,21,3.5,11,3
4247,21,3.5,11.5,3
4259,21,4,8.5,5
4260,21,4,9,5
4261,21,4,9.5,4
4262,21,4,10,4
4263,21,4,10.5,4
4264,21,4,11,4
4265,21,4,11.5,3
4278,21,4.5,9,5
4279,21,4.5,9.5,5
4280,21,4.5,10,4
4281,21,4.5,10.5,4
4282,21,4.5,11,4
4283,21,4.5,11.5,4
4297,21,5,9.5,5
4298,21,5,10,5
4299,21,5,10.5,4
4300,21,5,11,4
4301,21,5,11.5,4
4318,21,5.5,11,4
4319,21,5.5,11.5,4
4335,21,6,10.5,5
4354,21,6.5,11,5
4373,21,7,11.5,5
4689,22,3,7.5,5
4690,22,3,8,5
4691,22,3,8.5,4
4692,22,3,9,4
4693,22,3,9.5,4
4694,22,3,10,4
4695,22,3,10.5,3
4696,22,3,11,3
4697,22,3,11.5,3
4708,22,3.5,8,5
4709,22,3.5,8.5,5
4710,22,3.5,9,5
4711,22,3.5,9.5,4
4712,22,3.5,10,4
4713,22,3.5,10.5,4
4714,22,3.5,11,3
4715,22,3.5,11.5,3
4727,22,4,8.5,5
4728,22,4,9,5
4729,22,4,9.5,4
4730,22,4,10,4
4731,22,4,10.5,4
4732,22,4,11,4
4733,22,4,11.5,3
4746,22,4.5,9,5
4747,22,4.5,9.5,5
4748,22,4.5,10,4
4749,22,4.5,10.5,4
4750,22,4.5,11,4
4751,22,4.5,11.5,4
4765,22,5,9.5,5
4766,22,5,10,5
4767,22,5,10.5,4
4768,22,5,11,4
4769,22,5,11.5,4
4786,22,5.5,11,5
4787,22,5.5,11.5,4
4803,22,6,10.5,5
4822,22,6.5,11,5
5158,23,3,8,5
5159,23,3,8.5,5
5160,23,3,9,4
5161,23,3,9.5,4
5162,23,3,10,4
5163,23,3,10.5,4
5164,23,3,11,3
5165,23,3,11.5,3
5177,23,3.5,8.5,5
5178,23,3.5,9,5
5179,23,3.5,9.5,4
5180,23,3.5,10,4
5181,23,3.5,10.5,4
5182,23,3.5,11,4
5183,23,3.5,11.5,3
5196,23,4,9,5
5197,23,4,9.5,5
5198,23,4,10,4
5199,23,4,10.5,4
5200,23,4,11,4
5201,23,4,11.5,4
5215,23,4.5,9.5,5
5216,23,4.5,10,5
5217,23,4.5,10.5,4
5218,23,4.5,11,4
5219,23,4.5,11.5,4
5234,23,5,10,5
5235,23,5,10.5,5
5236,23,5,11,4
5237,23,5,11.5,4
5254,23,5.5,11,5
5255,23,5.5,11.5,4
5626,24,3,8,5
5627,24,3,8.5,5
5628,24,3,9,4
5629,24,3,9.5,4
5630,24,3,10,4
5631,24,3,10.5,4
5632,24,3,11,3
5633,24,3,11.5,3
5645,24,3.5,8.5,5
5646,24,3.5,9,5
5647,24,3.5,9.5,4
5648,24,3.5,10,4
5649,24,3.5,10.5,4
5650,24,3.5,11,4
5651,24,3.5,11.5,3
5664,24,4,9,5
5665,24,4,9.5,5
5666,24,4,10,4
5667,24,4,10.5,4
5668,24,4,11,4
5669,24,4,11.5,4
5683,24,4.5,9.5,5
5684,24,4.5,10,5
5685,24,4.5,10.5,4
5686,24,4.5,11,4
5687,24,4.5,11.5,4
5702,24,5,10,5
5703,24,5,10.5,5
5704,24,5,11,4
5705,24,5,11.5,4
5722,24,5.5,11,5
5723,24,5.5,11.5,4
5759,24,6.5,11.5,5
6094,25,3,8,5
6095,25,3,8.5,5
6096,25,3,9,5
6097,25,3,9.5,4
6098,25,3,10,4
6099,25,3,10.5,4
6100,25,3,11,4
6101,25,3,11.5,3
6113,25,3.5,8.5,5
6114,25,3.5,9,5
6115,25,3.5,9.5,5
6116,25,3.5,10,4
6117,25,3.5,10.5,4
6118,25,3.5,11,4
6119,25,3.5,11.5,4
6132,25,4,9,5
6133,25,4,9.5,5
6134,25,4,10,5
6135,25,4,10.5,4
6136,25,4,11,4
6137,25,4,11.5,4
6151,25,4.5,9.5,5
