,InitStorage_Powell,Inflow_Powell,Release_Powell,InitStorage_Mead,Release_Mead,YearsToEmpty
63857,10,4,8,10,10,4
63858,10,5,8,10,10,5
63859,10,6,8,10,10,6
63869,10,3,8,10,11,3
63870,10,4,8,10,11,3
63871,10,5,8,10,11,4
63872,10,6,8,10,11,4
63882,10,3,9,10,3,40
63883,10,4,9,10,3,40
63884,10,5,9,10,3,40
63885,10,6,9,10,3,40
63895,10,3,9,10,4,22
63896,10,4,9,10,4,40
63897,10,5,9,10,4,40
63898,10,6,9,10,4,40
63908,10,3,9,10,5,11
63909,10,4,9,10,5,22
63910,10,5,9,10,5,40
63911,10,6,9,10,5,40
63921,10,3,9,10,6,7
63922,10,4,9,10,6,11
63923,10,5,9,10,6,22
63924,10,6,9,10,6,40
63934,10,3,9,10,7,6
63935,10,4,9,10,7,7
63936,10,5,9,10,7,11
63937,10,6,9,10,7,22
63947,10,3,9,10,8,5
63948,10,4,9,10,8,6
63949,10,5,9,10,8,7
63950,10,6,9,10,8,11
63960,10,3,9,10,9,4
63961,10,4,9,10,9,5
63962,10,5,9,10,9,6
63963,10,6,9,10,9,7
63973,10,3,9,10,10,3
63974,10,4,9,10,10,4
63975,10,5,9,10,10,5
63976,10,6,9,10,10,6
63986,10,3,9,10,11,3
63987,10,4,9,10,11,3
63988,10,5,9,10,11,4
63989,10,6,9,10,11,5
63999,10,3,10,10,3,40
64000,10,4,10,10,3,40
64001,10,5,10,10,3,40
64002,10,6,10,10,3,40
64012,10,3,10,10,4,23
64013,10,4,10,10,4,40
64014,10,5,10,10,4,40
64015,10,6,10,10,4,40
64025,10,3,10,10,5,11
64026,10,4,10,10,5,22
64027,10,5,10,10,5,40
64028,10,6,10,10,5,40
64038,10,3,10,10,6,7
64039,10,4,10,10,6,11
64040,10,5,10,10,6,22
64041,10,6,10,10,6,40
64051,10,3,10,10,7,6
64052,10,4,10,10,7,7
64053,10,5,10,10,7,11
64054,10,6,10,10,7,22
64064,10,3,10,10,8,5
64065,10,4,10,10,8,6
64066,10,5,10,10,8,7
64067,10,6,10,10,8,11
64077,10,3,10,10,9,4
64078,10,4,10,10,9,5
64079,10,5,10,10,9,6
64080,10,6,10,10,9,7
64090,10,3,10,10,10,3
64091,10,4,10,10,10,4
64092,10,5,10,10,10,5
64093,10,6,10,10,10,6
64103,10,3,10,10,11,3
64104,10,4,10,10,11,3
64105,10,5,10,10,11,4
64106,10,6,10,10,11,5
64116,10,3,11,10,3,40
64117,10,4,11,10,3,40
64118,10,5,11,10,3,40
64119,10,6,11,10,3,40
64129,10,3,11,10,4,23
64130,10,4,11,10,4,40
64131,10,5,11,10,4,40
64132,10,6,11,10,4,40
64142,10,3,11,10,5,11
64143,10,4,11,10,5,23
64144,10,5,11,10,5,40
64145,10,6,11,10,5,40
64155,10,3,11,10,6,7
64156,10,4,11,10,6,11
64157,10,5,11,10,6,22
64158,10,6,11,10,6,40
64168,10,3,11,10,7,6
64169,10,4,11,10,7,7
64170,10,5,11,10,7,11
64171,10,6,11,10,7,22
64181,10,3,11,10,8,5
64182,10,4,11,10,8,6
64183,10,5,11,10,8,7
64184,10,6,11,10,8,11
64194,10,3,11,10,9,4
64195,10,4,11,10,9,5
64196,10,5,11,10,9,6
64197,10,6,11,10,9,7
64207,10,3,11,10,10,3
64208,10,4,11,10,10,4
64209,10,5,11,10,10,5
64210,10,6,11,10,10,6
64220,10,3,11,10,11,3
64221,10,4,11,10,11,3
64222,10,5,11,10,11,4
64223,10,6,11,10,11,5
