,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
537,13,4.5,10.5,1
538,13,4.5,11,1
539,13,4.5,11.5,1
545,13,5,5.5,2
546,13,5,6,1
547,13,5,6.5,1
548,13,5,7,1
549,13,5,7.5,1
550,13,5,8,1
551,13,5,8.5,1
552,13,5,9,1
553,13,5,9.5,1
554,13,5,10,1
555,13,5,10.5,1
556,13,5,11,1
557,13,5,11.5,1
564,13,5.5,6,2
565,13,5.5,6.5,1
566,13,5.5,7,1
567,13,5.5,7.5,1
568,13,5.5,8,1
569,13,5.5,8.5,1
570,13,5.5,9,1
571,13,5.5,9.5,1
572,13,5.5,10,1
573,13,5.5,10.5,1
574,13,5.5,11,1
575,13,5.5,11.5,1
583,13,6,6.5,2
584,13,6,7,1
585,13,6,7.5,1
586,13,6,8,1
587,13,6,8.5,1
588,13,6,9,1
589,13,6,9.5,1
590,13,6,10,1
591,13,6,10.5,1
592,13,6,11,1
593,13,6,11.5,1
602,13,6.5,7,2
603,13,6.5,7.5,1
604,13,6.5,8,1
605,13,6.5,8.5,1
606,13,6.5,9,1
607,13,6.5,9.5,1
608,13,6.5,10,1
609,13,6.5,10.5,1
610,13,6.5,11,1
611,13,6.5,11.5,1
621,13,7,7.5,2
622,13,7,8,1
623,13,7,8.5,1
624,13,7,9,1
625,13,7,9.5,1
626,13,7,10,1
627,13,7,10.5,1
628,13,7,11,1
629,13,7,11.5,1
640,13,7.5,8,2
641,13,7.5,8.5,1
642,13,7.5,9,1
643,13,7.5,9.5,1
644,13,7.5,10,1
645,13,7.5,10.5,1
646,13,7.5,11,1
647,13,7.5,11.5,1
659,13,8,8.5,2
660,13,8,9,1
661,13,8,9.5,1
662,13,8,10,1
663,13,8,10.5,1
664,13,8,11,1
665,13,8,11.5,1
678,13,8.5,9,2
679,13,8.5,9.5,1
680,13,8.5,10,1
681,13,8.5,10.5,1
682,13,8.5,11,1
683,13,8.5,11.5,1
697,13,9,9.5,2
698,13,9,10,1
699,13,9,10.5,1
700,13,9,11,1
701,13,9,11.5,1
716,13,9.5,10,2
717,13,9.5,10.5,1
718,13,9.5,11,1
719,13,9.5,11.5,1
735,13,10,10.5,2
736,13,10,11,1
737,13,10,11.5,1
754,13,10.5,11,2
755,13,10.5,11.5,1
773,13,11,11.5,2
937,14,3,3.5,4
938,14,3,4,2
939,14,3,4.5,2
940,14,3,5,1
941,14,3,5.5,1
942,14,3,6,1
943,14,3,6.5,1
944,14,3,7,1
945,14,3,7.5,1
946,14,3,8,1
947,14,3,8.5,1
948,14,3,9,1
949,14,3,9.5,1
950,14,3,10,1
951,14,3,10.5,1
952,14,3,11,1
953,14,3,11.5,1
956,14,3.5,4,4
957,14,3.5,4.5,2
958,14,3.5,5,2
959,14,3.5,5.5,1
960,14,3.5,6,1
961,14,3.5,6.5,1
962,14,3.5,7,1
963,14,3.5,7.5,1
964,14,3.5,8,1
965,14,3.5,8.5,1
966,14,3.5,9,1
967,14,3.5,9.5,1
968,14,3.5,10,1
969,14,3.5,10.5,1
970,14,3.5,11,1
971,14,3.5,11.5,1
975,14,4,4.5,4
976,14,4,5,2
977,14,4,5.5,2
978,14,4,6,1
979,14,4,6.5,1
980,14,4,7,1
981,14,4,7.5,1
982,14,4,8,1
983,14,4,8.5,1
984,14,4,9,1
985,14,4,9.5,1
986,14,4,10,1
987,14,4,10.5,1
988,14,4,11,1
989,14,4,11.5,1
994,14,4.5,5,4
995,14,4.5,5.5,2
996,14,4.5,6,2
997,14,4.5,6.5,1
998,14,4.5,7,1
999,14,4.5,7.5,1
1000,14,4.5,8,1
1001,14,4.5,8.5,1
1002,14,4.5,9,1
1003,14,4.5,9.5,1
1004,14,4.5,10,1
1005,14,4.5,10.5,1
1006,14,4.5,11,1
1007,14,4.5,11.5,1
1013,14,5,5.5,4
1014,14,5,6,2
1015,14,5,6.5,2
1016,14,5,7,1
1017,14,5,7.5,1
1018,14,5,8,1
1019,14,5,8.5,1
1020,14,5,9,1
1021,14,5,9.5,1
1022,14,5,10,1
1023,14,5,10.5,1
1024,14,5,11,1
1025,14,5,11.5,1
1032,14,5.5,6,4
1033,14,5.5,6.5,2
1034,14,5.5,7,2
1035,14,5.5,7.5,1
1036,14,5.5,8,1
1037,14,5.5,8.5,1
1038,14,5.5,9,1
1039,14,5.5,9.5,1
1040,14,5.5,10,1
1041,14,5.5,10.5,1
1042,14,5.5,11,1
1043,14,5.5,11.5,1
1051,14,6,6.5,4
1052,14,6,7,2
1053,14,6,7.5,2
1054,14,6,8,1
1055,14,6,8.5,1
1056,14,6,9,1
1057,14,6,9.5,1
1058,14,6,10,1
1059,14,6,10.5,1
1060,14,6,11,1
1061,14,6,11.5,1
1070,14,6.5,7,4
1071,14,6.5,7.5,2
1072,14,6.5,8,2
1073,14,6.5,8.5,1
1074,14,6.5,9,1
1075,14,6.5,9.5,1
1076,14,6.5,10,1
1077,14,6.5,10.5,1
1078,14,6.5,11,1
1079,14,6.5,11.5,1
1089,14,7,7.5,4
1090,14,7,8,2
1091,14,7,8.5,2
1092,14,7,9,1
1093,14,7,9.5,1
1094,14,7,10,1
1095,14,7,10.5,1
1096,14,7,11,1
1097,14,7,11.5,1
1108,14,7.5,8,4
1109,14,7.5,8.5,2
1110,14,7.5,9,2
1111,14,7.5,9.5,1
1112,14,7.5,10,1
1113,14,7.5,10.5,1
1114,14,7.5,11,1
1115,14,7.5,11.5,1
1127,14,8,8.5,4
1128,14,8,9,2
1129,14,8,9.5,2
1130,14,8,10,1
1131,14,8,10.5,1
1132,14,8,11,1
1133,14,8,11.5,1
1146,14,8.5,9,4
1147,14,8.5,9.5,2
1148,14,8.5,10,2
1149,14,8.5,10.5,1
1150,14,8.5,11,1
1151,14,8.5,11.5,1
1165,14,9,9.5,4
1166,14,9,10,2
1167,14,9,10.5,2
1168,14,9,11,1
1169,14,9,11.5,1
1184,14,9.5,10,4
1185,14,9.5,10.5,2
1186,14,9.5,11,2
1187,14,9.5,11.5,1
1203,14,10,10.5,4
1204,14,10,11,2
1205,14,10,11.5,2
1222,14,10.5,11,4
1223,14,10.5,11.5,2
1241,14,11,11.5,4
1406,15,3,4,3
1407,15,3,4.5,2
1408,15,3,5,2
1409,15,3,5.5,2
1410,15,3,6,1
1411,15,3,6.5,1
1412,15,3,7,1
1413,15,3,7.5,1
1414,15,3,8,1
1415,15,3,8.5,1
1416,15,3,9,1
1417,15,3,9.5,1
1418,15,3,10,1
1419,15,3,10.5,1
1420,15,3,11,1
1421,15,3,11.5,1
1425,15,3.5,4.5,3
1426,15,3.5,5,2
1427,15,3.5,5.5,2
1428,15,3.5,6,2
1429,15,3.5,6.5,1
1430,15,3.5,7,1
1431,15,3.5,7.5,1
1432,15,3.5,8,1
1433,15,3.5,8.5,1
1434,15,3.5,9,1
1435,15,3.5,9.5,1
1436,15,3.5,10,1
1437,15,3.5,10.5,1
1438,15,3.5,11,1
1439,15,3.5,11.5,1
1444,15,4,5,3
1445,15,4,5.5,2
1446,15,4,6,2
1447,15,4,6.5,2
1448,15,4,7,1
1449,15,4,7.5,1
1450,15,4,8,1
1451,15,4,8.5,1
1452,15,4,9,1
1453,15,4,9.5,1
1454,15,4,10,1
1455,15,4,10.5,1
1456,15,4,11,1
1457,15,4,11.5,1
1463,15,4.5,5.5,3
1464,15,4.5,6,2
1465,15,4.5,6.5,2
1466,15,4.5,7,2
1467,15,4.5,7.5,1
1468,15,4.5,8,1
1469,15,4.5,8.5,1
1470,15,4.5,9,1
1471,15,4.5,9.5,1
1472,15,4.5,10,1
1473,15,4.5,10.5,1
1474,15,4.5,11,1
1475,15,4.5,11.5,1
1482,15,5,6,3
1483,15,5,6.5,2
1484,15,5,7,2
1485,15,5,7.5,2
1486,15,5,8,1
1487,15,5,8.5,1
1488,15,5,9,1
1489,15,5,9.5,1
1490,15,5,10,1
1491,15,5,10.5,1
1492,15,5,11,1
1493,15,5,11.5,1
1501,15,5.5,6.5,3
1502,15,5.5,7,2
1503,15,5.5,7.5,2
1504,15,5.5,8,2
1505,15,5.5,8.5,1
1506,15,5.5,9,1
1507,15,5.5,9.5,1
1508,15,5.5,10,1
1509,15,5.5,10.5,1
1510,15,5.5,11,1
1511,15,5.5,11.5,1
1520,15,6,7,3
1521,15,6,7.5,2
1522,15,6,8,2
1523,15,6,8.5,2
1524,15,6,9,1
1525,15,6,9.5,1
1526,15,6,10,1
1527,15,6,10.5,1
1528,15,6,11,1
1529,15,6,11.5,1
1539,15,6.5,7.5,3
1540,15,6.5,8,2
1541,15,6.5,8.5,2
1542,15,6.5,9,2
1543,15,6.5,9.5,1
1544,15,6.5,10,1
1545,15,6.5,10.5,1
1546,15,6.5,11,1
1547,15,6.5,11.5,1
1558,15,7,8,3
1559,15,7,8.5,2
1560,15,7,9,2
1561,15,7,9.5,2
1562,15,7,10,1
1563,15,7,10.5,1
1564,15,7,11,1
1565,15,7,11.5,1
1577,15,7.5,8.5,3
1578,15,7.5,9,2
1579,15,7.5,9.5,2
1580,15,7.5,10,2
1581,15,7.5,10.5,1
1582,15,7.5,11,1
1583,15,7.5,11.5,1
1596,15,8,9,3
1597,15,8,9.5,2
1598,15,8,10,2
1599,15,8,10.5,2
1600,15,8,11,1
1601,15,8,11.5,1
1615,15,8.5,9.5,3
1616,15,8.5,10,2
1617,15,8.5,10.5,2
1618,15,8.5,11,2
1619,15,8.5,11.5,1
1634,15,9,10,3
1635,15,9,10.5,2
1636,15,9,11,2
1637,15,9,11.5,2
1653,15,9.5,10.5,3
1654,15,9.5,11,2
1655,15,9.5,11.5,2
1672,15,10,11,3
1673,15,10,11.5,2
1691,15,10.5,11.5,3
1874,16,3,4,4
1875,16,3,4.5,3
1876,16,3,5,2
1877,16,3,5.5,2
1878,16,3,6,2
1879,16,3,6.5,2
1880,16,3,7,1
1881,16,3,7.5,1
1882,16,3,8,1
1883,16,3,8.5,1
1884,16,3,9,1
1885,16,3,9.5,1
1886,16,3,10,1
1887,16,3,10.5,1
1888,16,3,11,1
1889,16,3,11.5,1
1893,16,3.5,4.5,4
1894,16,3.5,5,3
1895,16,3.5,5.5,2
1896,16,3.5,6,2
1897,16,3.5,6.5,2
1898,16,3.5,7,2
1899,16,3.5,7.5,1
1900,16,3.5,8,1
1901,16,3.5,8.5,1
1902,16,3.5,9,1
1903,16,3.5,9.5,1
1904,16,3.5,10,1
1905,16,3.5,10.5,1
1906,16,3.5,11,1
1907,16,3.5,11.5,1
1912,16,4,5,4
1913,16,4,5.5,3
1914,16,4,6,2
1915,16,4,6.5,2
1916,16,4,7,2
1917,16,4,7.5,2
1918,16,4,8,1
1919,16,4,8.5,1
1920,16,4,9,1
1921,16,4,9.5,1
1922,16,4,10,1
1923,16,4,10.5,1
1924,16,4,11,1
1925,16,4,11.5,1
1931,16,4.5,5.5,4
1932,16,4.5,6,3
1933,16,4.5,6.5,2
1934,16,4.5,7,2
1935,16,4.5,7.5,2
1936,16,4.5,8,2
1937,16,4.5,8.5,1
1938,16,4.5,9,1
1939,16,4.5,9.5,1
1940,16,4.5,10,1
1941,16,4.5,10.5,1
1942,16,4.5,11,1
1943,16,4.5,11.5,1
1950,16,5,6,4
1951,16,5,6.5,3
1952,16,5,7,2
1953,16,5,7.5,2
1954,16,5,8,2
1955,16,5,8.5,2
1956,16,5,9,1
1957,16,5,9.5,1
1958,16,5,10,1
1959,16,5,10.5,1
1960,16,5,11,1
