,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
1599,15,8,10.5,8
1600,15,8,11,7
1601,15,8,11.5,6
1602,15,8.5,3,40
1603,15,8.5,3.5,40
1604,15,8.5,4,40
1605,15,8.5,4.5,40
1606,15,8.5,5,40
1607,15,8.5,5.5,40
1608,15,8.5,6,40
1609,15,8.5,6.5,40
1610,15,8.5,7,40
1611,15,8.5,7.5,40
1612,15,8.5,8,40
1613,15,8.5,8.5,40
1614,15,8.5,9,40
1615,15,8.5,9.5,31
1616,15,8.5,10,16
1617,15,8.5,10.5,11
1618,15,8.5,11,8
1619,15,8.5,11.5,7
1620,15,9,3,40
1621,15,9,3.5,40
1622,15,9,4,40
1623,15,9,4.5,40
1624,15,9,5,40
1625,15,9,5.5,40
1626,15,9,6,40
1627,15,9,6.5,40
1628,15,9,7,40
1629,15,9,7.5,40
1630,15,9,8,40
1631,15,9,8.5,40
1632,15,9,9,40
1633,15,9,9.5,40
1634,15,9,10,31
1635,15,9,10.5,16
1636,15,9,11,11
1637,15,9,11.5,8
1638,15,9.5,3,40
1639,15,9.5,3.5,40
1640,15,9.5,4,40
1641,15,9.5,4.5,40
1642,15,9.5,5,40
1643,15,9.5,5.5,40
1644,15,9.5,6,40
1645,15,9.5,6.5,40
1646,15,9.5,7,40
1647,15,9.5,7.5,40
1648,15,9.5,8,40
1649,15,9.5,8.5,40
1650,15,9.5,9,40
1651,15,9.5,9.5,40
1652,15,9.5,10,40
1653,15,9.5,10.5,31
1654,15,9.5,11,16
1655,15,9.5,11.5,11
1656,15,10,3,40
1657,15,10,3.5,40
1658,15,10,4,40
1659,15,10,4.5,40
1660,15,10,5,40
1661,15,10,5.5,40
1662,15,10,6,40
1663,15,10,6.5,40
1664,15,10,7,40
1665,15,10,7.5,40
1666,15,10,8,40
1667,15,10,8.5,40
1668,15,10,9,40
1669,15,10,9.5,40
1670,15,10,10,40
1671,15,10,10.5,40
1672,15,10,11,31
1673,15,10,11.5,16
1674,15,10.5,3,40
1675,15,10.5,3.5,40
1676,15,10.5,4,40
1677,15,10.5,4.5,40
1678,15,10.5,5,40
1679,15,10.5,5.5,40
1680,15,10.5,6,40
1681,15,10.5,6.5,40
1682,15,10.5,7,40
1683,15,10.5,7.5,40
1684,15,10.5,8,40
1685,15,10.5,8.5,40
1686,15,10.5,9,40
1687,15,10.5,9.5,40
1688,15,10.5,10,40
1689,15,10.5,10.5,40
1690,15,10.5,11,40
1691,15,10.5,11.5,31
1692,15,11,3,40
1693,15,11,3.5,40
1694,15,11,4,40
1695,15,11,4.5,40
1696,15,11,5,40
1697,15,11,5.5,40
1698,15,11,6,40
1699,15,11,6.5,40
1700,15,11,7,40
1701,15,11,7.5,40
1702,15,11,8,40
1703,15,11,8.5,40
1704,15,11,9,40
1705,15,11,9.5,40
1706,15,11,10,40
1707,15,11,10.5,40
1708,15,11,11,40
1709,15,11,11.5,40
1710,15,11.5,3,40
1711,15,11.5,3.5,40
1712,15,11.5,4,40
1713,15,11.5,4.5,40
1714,15,11.5,5,40
1715,15,11.5,5.5,40
1716,15,11.5,6,40
1717,15,11.5,6.5,40
1718,15,11.5,7,40
1719,15,11.5,7.5,40
1720,15,11.5,8,40
1721,15,11.5,8.5,40
1722,15,11.5,9,40
1723,15,11.5,9.5,40
1724,15,11.5,10,40
1725,15,11.5,10.5,40
1726,15,11.5,11,40
1727,15,11.5,11.5,40
1728,15,12,3,40
1729,15,12,3.5,40
1730,15,12,4,40
1731,15,12,4.5,40
1732,15,12,5,40
1733,15,12,5.5,40
1734,15,12,6,40
1735,15,12,6.5,40
1736,15,12,7,40
1737,15,12,7.5,40
1738,15,12,8,40
1739,15,12,8.5,40
1740,15,12,9,40
1741,15,12,9.5,40
1742,15,12,10,40
1743,15,12,10.5,40
