InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
20,3,5,5
20,3.5,5.5,5
20,4,6,5
20,4.5,6.5,5
20,5,7,5
20,5.5,7.5,5
20,6,8,5
20,6.5,8.5,5
20,7,9,5
20,7.5,9.5,5
20,8,10,5
20,8.5,10.5,5
20,9,11,5
20,9.5,11.5,5
29,15.5,11.5,40
12,3,3,1
