InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
20,3,6.5,3
20,3,7,3
20,3,7.5,3
20,3.5,7,3
20,3.5,7.5,3
20,3.5,8,3
20,4,7.5,3
20,4,8,3
20,4,8.5,3
20,4.5,8,3
20,4.5,8.5,3
20,4.5,9,3
20,5,8.5,3
20,5,9,3
20,5,9.5,3
20,5.5,9,3
20,5.5,9.5,3
20,5.5,10,3
20,6,9.5,3
20,6,10,3
20,6,10.5,3
20,6.5,10,3
20,6.5,10.5,3
20,6.5,11,3
20,7,10.5,3
20,7,11,3
20,7,11.5,3
20,7.5,11,3
20,7.5,11.5,3
20,8,11.5,3
29,15.5,11.5,40
12,3,3,1
