InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
12,3,8,3
12,3,8.5,3
12,3,9,3
12,3,9.5,3
12,3.5,8.5,3
12,3.5,9,3
12,3.5,9.5,3
12,3.5,10,3
12,4,9,3
12,4,9.5,3
12,4,10,3
12,4,10.5,3
12,4.5,9.5,3
12,4.5,10,3
12,4.5,10.5,3
12,4.5,11,3
12,5,10,3
12,5,10.5,3
12,5,11,3
12,5,11.5,3
12,5.5,10.5,3
12,5.5,11,3
12,5.5,11.5,3
12,6,11,3
12,6,11.5,3
12,6.5,11.5,3
29,15.5,11.5,40
12,3,3,2
