InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
20,3,7,6
20,3,7.5,6
20,3.5,7.5,6
20,3.5,8,6
20,4,8,6
20,4,8.5,6
20,4.5,8.5,6
20,4.5,9,6
20,5,9,6
20,5,9.5,6
20,5.5,9.5,6
20,5.5,10,6
20,6,10,6
20,6,10.5,6
20,6.5,10.5,6
20,6.5,11,6
20,7,11,6
20,7,11.5,6
20,7.5,11.5,6
