,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
175,12.0,7.5,9.5,1.0
176,12.0,7.5,10.0,1.0
177,12.0,7.5,10.5,1.0
178,12.0,7.5,11.0,1.0
179,12.0,7.5,11.5,1.0
180,12.0,8.0,3.0,40.0
181,12.0,8.0,3.5,40.0
182,12.0,8.0,4.0,40.0
183,12.0,8.0,4.5,40.0
184,12.0,8.0,5.0,40.0
185,12.0,8.0,5.5,40.0
186,12.0,8.0,6.0,40.0
187,12.0,8.0,6.5,40.0
188,12.0,8.0,7.0,40.0
189,12.0,8.0,7.5,40.0
190,12.0,8.0,8.0,40.0
191,12.0,8.0,8.5,1.0
192,12.0,8.0,9.0,1.0
193,12.0,8.0,9.5,1.0
194,12.0,8.0,10.0,1.0
195,12.0,8.0,10.5,1.0
196,12.0,8.0,11.0,1.0
197,12.0,8.0,11.5,1.0
198,12.0,8.5,3.0,40.0
199,12.0,8.5,3.5,40.0
200,12.0,8.5,4.0,40.0
201,12.0,8.5,4.5,40.0
202,12.0,8.5,5.0,40.0
203,12.0,8.5,5.5,40.0
204,12.0,8.5,6.0,40.0
205,12.0,8.5,6.5,40.0
206,12.0,8.5,7.0,40.0
207,12.0,8.5,7.5,40.0
208,12.0,8.5,8.0,40.0
209,12.0,8.5,8.5,40.0
210,12.0,8.5,9.0,1.0
211,12.0,8.5,9.5,1.0
212,12.0,8.5,10.0,1.0
213,12.0,8.5,10.5,1.0
214,12.0,8.5,11.0,1.0
215,12.0,8.5,11.5,1.0
216,12.0,9.0,3.0,40.0
217,12.0,9.0,3.5,40.0
218,12.0,9.0,4.0,40.0
219,12.0,9.0,4.5,40.0
220,12.0,9.0,5.0,40.0
221,12.0,9.0,5.5,40.0
222,12.0,9.0,6.0,40.0
223,12.0,9.0,6.5,40.0
224,12.0,9.0,7.0,40.0
225,12.0,9.0,7.5,40.0
226,12.0,9.0,8.0,40.0
227,12.0,9.0,8.5,40.0
228,12.0,9.0,9.0,40.0
229,12.0,9.0,9.5,1.0
230,12.0,9.0,10.0,1.0
231,12.0,9.0,10.5,1.0
232,12.0,9.0,11.0,1.0
233,12.0,9.0,11.5,1.0
234,12.0,9.5,3.0,40.0
235,12.0,9.5,3.5,40.0
236,12.0,9.5,4.0,40.0
237,12.0,9.5,4.5,40.0
238,12.0,9.5,5.0,40.0
239,12.0,9.5,5.5,40.0
240,12.0,9.5,6.0,40.0
241,12.0,9.5,6.5,40.0
242,12.0,9.5,7.0,40.0
243,12.0,9.5,7.5,40.0
244,12.0,9.5,8.0,40.0
245,12.0,9.5,8.5,40.0
246,12.0,9.5,9.0,40.0
247,12.0,9.5,9.5,40.0
248,12.0,9.5,10.0,1.0
249,12.0,9.5,10.5,1.0
250,12.0,9.5,11.0,1.0
251,12.0,9.5,11.5,1.0
252,12.0,10.0,3.0,40.0
253,12.0,10.0,3.5,40.0
254,12.0,10.0,4.0,40.0
255,12.0,10.0,4.5,40.0
256,12.0,10.0,5.0,40.0
257,12.0,10.0,5.5,40.0
258,12.0,10.0,6.0,40.0
259,12.0,10.0,6.5,40.0
260,12.0,10.0,7.0,40.0
261,12.0,10.0,7.5,40.0
262,12.0,10.0,8.0,40.0
263,12.0,10.0,8.5,40.0
264,12.0,10.0,9.0,40.0
265,12.0,10.0,9.5,40.0
266,12.0,10.0,10.0,40.0
267,12.0,10.0,10.5,1.0
268,12.0,10.0,11.0,1.0
269,12.0,10.0,11.5,1.0
270,12.0,10.5,3.0,40.0
271,12.0,10.5,3.5,40.0
272,12.0,10.5,4.0,40.0
273,12.0,10.5,4.5,40.0
274,12.0,10.5,5.0,40.0
275,12.0,10.5,5.5,40.0
276,12.0,10.5,6.0,40.0
277,12.0,10.5,6.5,40.0
278,12.0,10.5,7.0,40.0
279,12.0,10.5,7.5,40.0
280,12.0,10.5,8.0,40.0
